,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,9.928025e-07,4.5297027e-05,1.0248789e-05,7.2566223e-07,4.805227e-07,3.0302483e-05,8.862395e-07,6.1505705e-07,5.3274226e-07,7.595153e-07,2.2502056e-07,5.610144e-07
1,9.890886e-07,4.131174e-05,2.190967e-05,9.09355e-06,1.03406215e-07,2.0164152e-05,8.523189e-07,5.8956243e-07,5.157766e-07,7.557462e-07,3.0880216e-07,5.7910944e-07
2,9.905698e-07,4.3311822e-05,9.0616295e-06,1.3520785e-06,6.9845515e-07,5.6327688e-05,8.6327276e-07,6.6910246e-07,5.430231e-07,7.5153775e-07,2.9183263e-07,5.822581e-07
3,9.890886e-07,3.8537422e-05,1.5928974e-05,8.074558e-06,1.6652106e-07,2.0164152e-05,8.540167e-07,5.0409636e-07,4.8244914e-07,7.569206e-07,3.5697792e-07,5.6298745e-07
4,9.905142e-07,4.01158e-05,1.13301485e-05,7.942677e-07,9.232636e-07,2.0164152e-05,8.6324155e-07,5.5064015e-07,6.3929775e-07,7.957282e-07,2.663427e-07,6.652542e-07
5,9.928758e-07,5.5336186e-05,8.753533e-06,7.2566223e-07,3.411827e-07,2.0695454e-05,8.611748e-07,5.3719793e-07,4.8244914e-07,7.5153775e-07,3.8999795e-07,5.945091e-07
6,9.890886e-07,3.8549122e-05,8.769057e-06,2.1447045e-06,3.916019e-07,5.010944e-05,8.523189e-07,5.3541e-07,4.839786e-07,7.5153775e-07,2.4013852e-07,5.6296113e-07
7,9.890886e-07,6.53441e-05,1.02954e-05,3.0450988e-06,1.683014e-07,2.2629156e-05,8.6466736e-07,7.6003465e-07,5.2984745e-07,7.628831e-07,3.2555724e-07,5.610144e-07
8,9.890886e-07,4.323778e-05,9.287028e-06,5.100607e-06,1.974953e-08,3.7530353e-05,8.52831e-07,5.456556e-07,4.850636e-07,7.6739286e-07,3.4546105e-07,5.610144e-07
9,1.0062979e-06,4.3638887e-05,8.840752e-06,1.5901114e-06,9.631125e-08,2.1601365e-05,8.5927104e-07,5.032571e-07,4.8244914e-07,8.2574456e-07,2.3830397e-07,5.610144e-07
10,9.953578e-07,4.2248368e-05,8.763622e-06,3.064902e-06,3.2159127e-07,2.0164152e-05,8.529716e-07,5.724307e-07,5.035183e-07,7.633079e-07,5.343521e-07,5.610144e-07
11,9.915999e-07,3.8537422e-05,9.935195e-06,2.6464231e-06,4.5976326e-06,2.1313726e-05,8.550046e-07,5.275649e-07,5.8956306e-07,7.564841e-07,4.7290857e-07,5.610144e-07
12,9.977066e-07,3.9395418e-05,8.753533e-06,1.2734486e-06,2.12039e-07,3.010863e-05,8.523189e-07,5.072353e-07,4.8244914e-07,7.877941e-07,4.2628008e-07,7.6952193e-07
13,9.931556e-07,3.9726823e-05,1.6124723e-05,1.3359154e-05,6.849071e-08,3.0336712e-05,8.581289e-07,5.032571e-07,6.9205e-07,7.5409446e-07,3.0845428e-07,5.610144e-07
14,9.890886e-07,3.9515307e-05,8.753533e-06,1.9683143e-06,1.7316225e-06,2.071046e-05,9.3879964e-07,5.143521e-07,4.8244914e-07,7.5153775e-07,2.2258189e-07,5.665336e-07
15,9.890886e-07,5.734934e-05,1.850763e-05,1.7195421e-06,3.7954432e-08,2.0164152e-05,9.1551686e-07,5.751089e-07,5.008796e-07,7.639248e-07,2.2258189e-07,7.0176833e-07
16,9.890886e-07,4.225448e-05,8.753533e-06,9.704589e-06,9.0349414e-07,2.0164152e-05,8.523189e-07,5.032571e-07,5.293909e-07,7.5153775e-07,2.9844662e-07,6.1078555e-07
17,9.940528e-07,3.889291e-05,2.4091149e-05,4.4457397e-06,1.974953e-08,2.0164152e-05,8.523189e-07,5.032571e-07,4.8524885e-07,7.5153775e-07,2.2582019e-07,6.009915e-07
18,9.930192e-07,4.9136994e-05,8.753533e-06,7.2566223e-07,7.3002375e-06,2.5437746e-05,8.707129e-07,5.2940914e-07,5.068824e-07,7.9579075e-07,3.1049777e-07,5.839585e-07
19,9.893455e-07,7.359605e-05,1.6867873e-05,7.2566223e-07,4.3956e-06,2.822472e-05,8.713358e-07,5.3319116e-07,4.8374045e-07,7.5153775e-07,4.385298e-07,6.197603e-07
20,9.895933e-07,3.8537422e-05,8.753533e-06,4.336484e-06,1.974953e-08,3.477444e-05,9.017051e-07,5.032571e-07,4.8244914e-07,8.1938435e-07,3.269071e-07,5.610144e-07
21,9.970912e-07,3.8861905e-05,1.1550108e-05,1.8472028e-06,1.974953e-08,2.4316898e-05,8.604266e-07,5.032571e-07,6.9826854e-07,7.5451885e-07,2.2258189e-07,6.257423e-07
22,9.927235e-07,3.8700553e-05,1.0797372e-05,1.4550619e-06,1.974953e-08,2.9672341e-05,8.523216e-07,5.483984e-07,4.8923954e-07,8.387982e-07,2.3192231e-07,5.880291e-07
23,9.897985e-07,3.9379454e-05,8.753533e-06,4.272675e-06,3.2016837e-07,2.0164152e-05,8.9701035e-07,5.0989365e-07,4.8651543e-07,7.5153775e-07,2.7018535e-07,7.14605e-07
24,1.0089057e-06,3.985109e-05,8.753533e-06,7.7926876e-07,1.974953e-08,3.0884075e-05,8.551923e-07,7.6642874e-07,4.8285847e-07,8.369842e-07,2.2670349e-07,5.7358875e-07
25,9.977465e-07,3.97471e-05,8.782472e-06,8.112282e-06,1.9029525e-07,6.0482667e-05,8.7332216e-07,5.063623e-07,4.8244914e-07,7.6376426e-07,2.501517e-07,7.2608196e-07
26,9.911795e-07,3.8729948e-05,1.555119e-05,9.981345e-07,1.2300674e-07,2.2337912e-05,8.646919e-07,5.032571e-07,5.783979e-07,7.5153775e-07,4.711783e-07,5.610144e-07
27,9.909814e-07,4.0183688e-05,1.30727385e-05,2.71802e-06,9.304793e-07,2.0164152e-05,9.035918e-07,5.1041616e-07,4.8244914e-07,8.147582e-07,3.180632e-07,5.610144e-07
28,9.89213e-07,4.2084255e-05,9.9772005e-06,1.0074675e-05,1.974953e-08,2.5338088e-05,9.113716e-07,5.032571e-07,5.104715e-07,8.3618056e-07,2.248863e-07,6.146141e-07
29,9.890886e-07,3.8537422e-05,1.2914238e-05,3.1210088e-06,9.5350157e-07,2.0164152e-05,9.002957e-07,5.032571e-07,4.8244914e-07,7.5326983e-07,2.2523626e-07,5.610144e-07
30,9.954896e-07,3.8537422e-05,9.065665e-06,8.82113e-06,1.974953e-08,2.8742326e-05,8.523189e-07,5.032571e-07,4.8244914e-07,7.5153775e-07,3.720011e-07,7.344366e-07
31,1.0007263e-06,3.9197206e-05,8.753533e-06,2.0482153e-06,2.29651e-06,2.4779962e-05,8.523189e-07,5.329884e-07,6.053613e-07,7.867217e-07,2.528465e-07,5.610144e-07
32,9.914581e-07,3.863091e-05,1.023106e-05,3.0234542e-06,6.406744e-06,2.3578377e-05,8.6584686e-07,5.323186e-07,5.3324544e-07,7.5153775e-07,3.4280814e-07,5.8281114e-07
33,9.890886e-07,3.8537422e-05,9.438759e-06,7.2566223e-07,1.974953e-08,2.0789532e-05,8.5336956e-07,6.647441e-07,4.959148e-07,7.5586036e-07,2.2258189e-07,5.6604136e-07
34,9.890886e-07,4.0708655e-05,1.8727242e-05,6.452559e-06,1.8053462e-06,2.0537289e-05,8.8837993e-07,8.84691e-07,5.0833245e-07,7.952389e-07,2.64399e-07,5.610144e-07
35,9.995204e-07,3.8537422e-05,1.5175882e-05,7.2566223e-07,9.413241e-07,2.0164152e-05,8.5786775e-07,5.032571e-07,4.856249e-07,7.5733266e-07,2.2258189e-07,5.7885734e-07
36,9.893602e-07,4.9135797e-05,1.9498126e-05,8.115144e-06,1.974953e-08,2.0453444e-05,8.533422e-07,5.032571e-07,4.864842e-07,9.143736e-07,2.2258189e-07,5.6799945e-07
37,9.956605e-07,3.8537422e-05,8.753533e-06,7.2566223e-07,1.672253e-06,2.0164152e-05,9.1040386e-07,5.1207843e-07,6.263738e-07,7.6368804e-07,2.994691e-07,5.801312e-07
38,9.894411e-07,3.8537422e-05,8.753533e-06,9.429314e-07,2.2589861e-06,2.3577739e-05,8.6428105e-07,5.032571e-07,5.187094e-07,7.5443006e-07,3.1432452e-07,5.8068224e-07
39,9.895415e-07,4.126482e-05,1.3931878e-05,1.4511685e-05,4.0160412e-08,2.0164152e-05,8.7613154e-07,7.3688307e-07,5.4446576e-07,7.5200694e-07,4.8740714e-07,6.2500214e-07
40,9.980743e-07,3.9876148e-05,1.4381311e-05,2.1948354e-06,1.5192076e-06,2.0164152e-05,8.8455323e-07,5.137568e-07,4.8244914e-07,7.5153775e-07,3.0403362e-07,6.7676694e-07
41,9.957172e-07,4.4178236e-05,1.6004617e-05,9.883906e-07,1.9182569e-06,2.3360379e-05,8.523189e-07,5.600713e-07,5.042997e-07,9.3076034e-07,2.3121076e-07,5.610144e-07
42,9.969407e-07,4.134765e-05,1.3254481e-05,7.2566223e-07,2.0216623e-06,2.2282273e-05,8.678679e-07,5.836205e-07,4.8244914e-07,7.824647e-07,3.6869838e-07,7.1150134e-07
43,9.891725e-07,3.934218e-05,1.612589e-05,3.5023177e-06,2.9677935e-07,2.7737738e-05,8.983434e-07,5.1147197e-07,5.29178e-07,7.5153775e-07,3.2799207e-07,5.7600715e-07
44,9.890886e-07,4.416728e-05,1.0039943e-05,9.3021714e-07,1.974953e-08,2.0164152e-05,8.523189e-07,5.0675874e-07,4.8244914e-07,8.2437566e-07,2.2420151e-07,6.7246094e-07
45,9.890886e-07,4.0569343e-05,9.048712e-06,7.159968e-06,2.0792262e-07,2.0164152e-05,8.784719e-07,6.384838e-07,7.50335e-07,7.5522865e-07,4.3333355e-07,5.610144e-07
