,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,4.036516094207764e-05,2.9e-06,1e-06,1e-06,8.237652361392976e-06,9.4e-07,7.376616621017456e-07,4.3686508178710935e-07,4.665625715255737e-07,3e-07,5.915334749221802e-07
1,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3674288332462314e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.767209053039551e-07,3.8e-07
2,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3805209934711457e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8023717403411863e-07,3.8e-07
3,1e-06,1.84e-05,2.9e-06,1e-06,1.8200209617614746e-06,2.6294576048851014e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7696502208709713e-07,3.8e-07
4,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3431058764457706e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7793247699737545e-07,3.8e-07
5,1.0015161514282227e-06,3.4653458213806154e-05,2.9e-06,1e-06,1e-06,2.147291558980942e-05,9.4e-07,6.9126473903656e-07,3.4e-07,3.4e-07,3e-07,3.8e-07
6,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,8.763114750385284e-06,9.4e-07,3.4e-07,3.4e-07,4.595205211639404e-07,3e-07,6.274509191513061e-07
7,1.0027216434478759e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.9483814895153047e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.433051586151123e-07,3.8e-07
8,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.449913883209228e-07,3e-07,6.124261283874512e-07
9,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,1.0957212805747986e-05,9.4e-07,3.4e-07,3.4e-07,4.647910261154175e-07,3e-07,6.299327039718628e-07
10,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.4868851184844972e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8161518573760985e-07,3.8e-07
11,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.5406297683715816e-07,3e-07,6.085073184967041e-07
12,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.37815757393837e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7529153823852537e-07,3.8e-07
13,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.374286848306656e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.794477462768555e-07,3.8e-07
14,1e-06,1.84e-05,2.9e-06,1e-06,1.3094687461853027e-06,2.5949079632759095e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.748178958892822e-07,3.8e-07
15,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3139684200286867e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7530226707458495e-07,3.8e-07
16,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3488174736499788e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7902803421020503e-07,3.8e-07
17,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.336747860908508e-07,3.4e-07,3.4e-07,4.0161549091339106e-07,3.733918190002441e-07,6.104027509689331e-07
18,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,1.0014383733272554e-05,9.4e-07,3.4e-07,3.4e-07,4.582083129882812e-07,3e-07,6.288647603988647e-07
19,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.401588344573974e-07,3e-07,6.085446977615356e-07
20,1e-06,7.383705291748047e-05,2.9e-06,1e-06,1e-06,5.619448006153107e-06,9.4e-07,9.137571954727173e-07,6.997766399383544e-07,4.332233572006225e-07,3e-07,5.241863298416137e-07
21,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.7803407669067386e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.87856650352478e-07,3.8e-07
22,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.46971001625061e-07,3e-07,6.147970151901245e-07
23,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.4139549553394318e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8250210285186764e-07,3.8e-07
24,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.4334076285362245e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.85355544090271e-07,3.8e-07
25,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.393924248218536e-07,3.4e-07,3.4e-07,4.4680871009826656e-07,3e-07,6.132934141159057e-07
26,1e-06,1.84e-05,2.9e-06,1e-06,1.2235679626464844e-06,2.5737339556217197e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8132972717285153e-07,3.8e-07
27,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.2620460510253906e-05,9.4e-07,3.4e-07,3.4e-07,3.5474621295928953e-07,3.6849753856658935e-07,3.8e-07
28,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.4303486168384553e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7828445434570314e-07,3.8e-07
29,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.787602931261063e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.1682224273681637e-07,3.8e-07
30,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3962589085102084e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.816368579864502e-07,3.8e-07
31,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,7.206138134002686e-06,9.4e-07,3.4e-07,3.4e-07,4.525110864639282e-07,3e-07,6.222464609146118e-07
32,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3814465522766114e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8185558319091797e-07,3.8e-07
33,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,5.8815758228302e-06,9.4e-07,3.4e-07,3.4e-07,4.5397893428802486e-07,3e-07,6.18033390045166e-07
34,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.357834839820861e-07,3.4e-07,3.4e-07,4.563007974624634e-07,3e-07,5.997939825057983e-07
35,1e-06,3.79280969619751e-05,2.9e-06,1e-06,3.4757892608642576e-06,2.2318589448928834e-05,9.4e-07,7.006400251388549e-07,4.1608804702758784e-07,3.633607530593872e-07,4.110856533050537e-07,3.8e-07
36,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.4890641212463377e-07,3e-07,6.144239664077759e-07
37,1e-06,4.7302700996398924e-05,2.9e-06,1e-06,1.1423821449279785e-06,2.136329436302185e-05,9.4e-07,8.387555503845214e-07,4.822319650650024e-07,3.581532621383667e-07,4.0724451541900635e-07,3.8e-07
38,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,5.5181943774223325e-06,9.4e-07,3.4e-07,3.4e-07,4.464496517181396e-07,3e-07,6.207037448883055e-07
39,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3458757221698764e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.7972877025604245e-07,3.8e-07
40,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.3890422821044924e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.8510992527008056e-07,3.8e-07
41,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.4523798763751985e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.833102703094482e-07,3.8e-07
42,1e-06,3.4846889114379883e-05,2.9e-06,1e-06,3.1875869750976558e-06,2.884434825181961e-05,9.4e-07,6.859788560867309e-07,3.4253973007202143e-07,3.4e-07,4.173919916152954e-07,3.8e-07
43,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,3.4e-07,4.467059993743896e-07,3e-07,6.168490314483642e-07
44,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,6.623810231685639e-06,9.4e-07,3.4e-07,3.4e-07,4.5391005516052244e-07,3e-07,6.198683214187622e-07
45,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,2.389420247077942e-05,9.4e-07,3.4e-07,3.4e-07,3.4e-07,3.758789777755737e-07,3.8e-07
46,1.0017369270324707e-06,3.6854922676086423e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,6.66826524734497e-07,4.022499942779541e-07,5.006422185897826e-07,3e-07,5.837153816223145e-07
47,1.0003749847412109e-06,3.75101655960083e-05,2.9e-06,1e-06,4.1726513862609864e-06,2.0755362749099734e-05,9.4e-07,6.944512033462525e-07,4.626138591766357e-07,3.629218006134033e-07,4.1328191757202144e-07,3.8e-07
