,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.355312359333038e-07,9.399999999999999e-07,9.34844365119934e-07,3.4e-07,9e-07,3.8e-07
1,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.344585585594177e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,5.203288269042969e-07
2,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.320474660396576e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
3,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.306158936023713e-07,9.399999999999999e-07,6.133364820480346e-07,3.4e-07,9e-07,3.8e-07
4,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,6.732504987716675e-07,9.399999999999999e-07,3.4e-07,3.4e-07,9e-07,3.8e-07
5,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
6,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.258419978618622e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
7,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
8,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,8.59309949874878e-07,9.399999999999999e-07,3.4e-07,3.4e-07,9e-07,3.8e-07
9,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
10,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
11,1.4e-06,0.0001,8.43566472530365e-06,7.049999999999999e-05,8.34e-05,0.0001,9.312927258014679e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
12,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.315241038799286e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
13,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.263686347007752e-07,9.399999999999999e-07,9.001237058639526e-07,3.4e-07,9e-07,3.8e-07
14,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.289109587669373e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
15,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
16,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.284697568416595e-07,9.399999999999999e-07,5.909104251861572e-07,3.4e-07,9e-07,3.8e-07
17,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.324059212207794e-07,9.399999999999999e-07,7.36483564376831e-07,3.4e-07,9e-07,3.8e-07
18,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
19,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,8.947990167140961e-07,9.399999999999999e-07,3.4e-07,3.4e-07,9e-07,3.8e-07
20,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
21,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,8.655674219131469e-07,9.399999999999999e-07,3.4e-07,3.4e-07,9e-07,3.8e-07
22,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
23,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.295876443386078e-07,9.399999999999999e-07,9.374146366119384e-07,3.4e-07,9e-07,3.8e-07
24,1.4e-06,0.0001,2.9e-06,7.049999999999999e-05,8.34e-05,0.0001,9.321636927127839e-07,9.399999999999999e-07,9.399999999999999e-07,3.4e-07,9e-07,8.999999999999999e-07
