,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,4.2622782135009766e-05,2.9e-06,7.033482104539871e-05,1e-06,3.489153736829758e-05,9.397873902320862e-07,8.299984598159789e-07,4.206666851043701e-07,3.674645328521728e-07,3e-07,4.871670341491699e-07
1,1e-06,3.139885807037354e-05,6.490633869171143e-06,1e-06,1e-06,5.048796600103379e-05,8.565048205852508e-07,3.9790009498596187e-07,6.159072542190552e-07,3.4e-07,3e-07,4.890433740615845e-07
2,1e-06,2.7500610160827636e-05,2.9e-06,1e-06,1e-06,3.5425970733165746e-05,8.653490936756134e-07,3.9954890251159667e-07,5.794350051879883e-07,3.4e-07,3e-07,4.7457263946533204e-07
3,1e-06,2.0737065505981446e-05,2.9e-06,1e-06,2.84497594833374e-06,6.170662671327592e-05,8.839184308052063e-07,3.4e-07,4.0736650466918943e-07,6.704654598236084e-07,3e-07,4.431353759765625e-07
4,1e-06,3.2494541740417484e-05,2.9e-06,1e-06,1e-06,3.0023576200008395e-05,8.691686403751374e-07,4.1965016365051266e-07,4.1699649333953853e-07,3.4e-07,3e-07,4.762885522842407e-07
5,1e-06,3.38034517288208e-05,4.142808437347413e-06,1e-06,1e-06,4.530816096067429e-05,8.393498027324677e-07,4.319131517410278e-07,6.523404502868651e-07,3.4e-07,3e-07,4.7045063018798826e-07
6,1e-06,3.1690867233276365e-05,2.9e-06,1e-06,1e-06,3.5100306093692784e-05,8.772184371948243e-07,4.602815532684326e-07,3.4533652305603026e-07,3.4e-07,3e-07,4.7320559978485105e-07
7,1e-06,3.539454612731933e-05,2.9e-06,1e-06,1e-06,3.30315967798233e-05,8.582112216949463e-07,4.3207515716552733e-07,4.6974531650543206e-07,3.4e-07,3e-07,4.787994718551636e-07
8,1e-06,4.519426040649414e-05,2.9e-06,1e-06,1e-06,3.203220957517624e-05,8.65592348575592e-07,7.394358539581298e-07,4.839286947250365e-07,3.4e-07,3e-07,4.70880274772644e-07
9,1e-06,3.077737922668457e-05,2.9e-06,1e-06,1e-06,3.205577546358109e-05,8.720208370685577e-07,4.1791788578033443e-07,5.347709321975708e-07,3.4e-07,3e-07,4.7548040390014647e-07
10,1e-06,4.3395231437683105e-05,2.9e-06,1e-06,1e-06,2.89974582195282e-05,8.564531588554383e-07,5.568613910675049e-07,4.5315703392028806e-07,3.4e-07,3e-07,4.7251151084899903e-07
11,1e-06,3.172664489746094e-05,2.9e-06,1e-06,1e-06,3.3459425806999204e-05,8.78473128080368e-07,4.162562036514282e-07,3.882605218887329e-07,3.4e-07,3e-07,4.864118242263794e-07
12,1e-06,2.6957019233703612e-05,2.9e-06,1e-06,1e-06,3.687975835800171e-05,8.693082785606384e-07,4.171111488342285e-07,3.5814224720001217e-07,3.4e-07,3e-07,4.883060789108276e-07
13,1e-06,3.526388664245606e-05,2.9e-06,1e-06,1e-06,3.329476058483124e-05,8.708633601665496e-07,4.3512758255004877e-07,4.4472338199615475e-07,3.4e-07,3e-07,4.727483081817627e-07
14,1e-06,3.1756459617614745e-05,2.9e-06,1e-06,1e-06,3.6691800475120546e-05,8.568962180614472e-07,4.1952556610107417e-07,4.1010028362274166e-07,3.4032436847686767e-07,3e-07,4.797972440719604e-07
