,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,1.84e-05,2.9e-06,1.5067548155784606e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,5.090973281860351e-07,3.4e-07,3e-07,5.42558889389038e-07
1,1e-06,3.638317890167236e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,8.41794171333313e-07,3.52386155128479e-07,3e-07,5.389857912063598e-07
2,1.0394707679748535e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,5.38996877670288e-07,3.4e-07,3e-07,5.078951692581176e-07
3,1e-06,2.4183559608459475e-05,2.9e-06,1e-06,1e-06,5.991310894489288e-06,9.285667753219605e-07,3.4e-07,4.4022735595703125e-07,3.4e-07,3e-07,4.955698680877685e-07
4,1.0004345417022704e-06,1.84e-05,2.9e-06,1.6313453316688538e-06,1e-06,4.5e-06,9.4e-07,9.036677265167235e-07,3.4e-07,3.4e-07,3e-07,5.091324663162232e-07
5,1e-06,1.84e-05,2.9e-06,1.098086655139923e-06,1e-06,4.5e-06,9.4e-07,9.39793791770935e-07,4.668460988998413e-07,3.4e-07,3e-07,4.985197925567627e-07
6,1e-06,2.24539945602417e-05,2.9e-06,1e-06,1e-06,8.094230592250824e-06,9.274202466011047e-07,3.4e-07,3.685407781600952e-07,3.4e-07,3.0054051876068116e-07,5.139605903625488e-07
7,1e-06,1.9617958068847657e-05,2.9e-06,1.358543634414673e-06,1.1217345237731932e-06,8.817384600639344e-06,9.227476215362549e-07,3.4e-07,3.512369537353515e-07,3.4e-07,3.064300060272217e-07,5.072816038131714e-07
8,1e-06,4.528482322692871e-05,2.9e-06,1.022742450237274e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,8.442793273925782e-07,3.437264108657837e-07,3e-07,5.425050830841065e-07
9,1e-06,2.5501866340637208e-05,2.9e-06,1e-06,1.6459306716918944e-06,4.5e-06,9.370394945144654e-07,3.8587256908416744e-07,3.7276572227478026e-07,3.4e-07,3e-07,5.096616649627686e-07
10,1e-06,1.84e-05,2.9e-06,1.975481271743774e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,4.784300231933593e-07,3.4e-07,3e-07,4.937332010269165e-07
11,1.016259765625e-06,1.84e-05,2.9e-06,1.4972518682479858e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,6.17317452430725e-07,3.4e-07,3e-07,5.248196697235107e-07
12,1e-06,3.646317768096924e-05,2.9e-06,1.6586859822273255e-06,1e-06,7.441797018051148e-06,9.4e-07,3.4e-07,7.9180344581604e-07,3.5833093166351314e-07,3e-07,5.37890510559082e-07
13,1e-06,3.166364974975586e-05,2.9e-06,1e-06,1e-06,1.5423688650131228e-05,9.4e-07,7.147476577758789e-07,3.443600559234619e-07,4.2806264400482173e-07,3.10626482963562e-07,5.164723777770996e-07
14,1e-06,2.2897382736206055e-05,2.9e-06,1e-06,1.1576370239257813e-06,4.5e-06,9.4e-07,3.892767572402954e-07,3.605923557281494e-07,3.4e-07,3e-07,5.008679294586181e-07
15,1.0021979808807372e-06,1.84e-05,2.9e-06,1.5551726222038268e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,4.976955795288086e-07,3.4e-07,3e-07,5.088440322875976e-07
16,1.0165348052978516e-06,1.84e-05,2.9e-06,1.4353294372558594e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,4.2913331031799313e-07,3.4e-07,3e-07,5.210746145248413e-07
17,1.0050927639007569e-06,1.84e-05,2.9e-06,1.3272841572761535e-06,1e-06,6.962908565998077e-06,9.4e-07,8.394201660156248e-07,3.4e-07,4.0527631282806396e-07,3e-07,4.989749145507812e-07
18,1.0259932041168212e-06,1.84e-05,2.9e-06,1.3611368536949157e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,5.665252113342285e-07,3.4e-07,3e-07,6.050743150711059e-07
19,1e-06,1.84e-05,2.9e-06,1.0916408896446228e-06,1e-06,4.5e-06,9.4e-07,7.70075478553772e-07,4.848971509933471e-07,3.4e-07,3e-07,4.968977308273316e-07
20,1.0320136070251464e-06,1.84e-05,2.9e-06,1.0005799531936646e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,5.3734628200531e-07,3.4e-07,3e-07,5.277010965347289e-07
21,1.0156920909881592e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,5.084034585952758e-07,3.4e-07,3e-07,5.362160062789917e-07
22,1e-06,3.851639537811279e-05,2.9e-06,1e-06,1e-06,4.910957217216492e-06,9.4e-07,6.718228721618652e-07,4.724662923812866e-07,3.4e-07,3e-07,5.632190227508544e-07
23,1e-06,1.84e-05,2.9e-06,2.358697772026062e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,4.5566092967987055e-07,3.4e-07,3e-07,5.756484031677246e-07
24,1e-06,1.84e-05,2.9e-06,1.1853530406951905e-06,1e-06,4.5e-06,9.370230722427368e-07,6.228606128692626e-07,4.52674880027771e-07,3.4e-07,3e-07,4.931996011734009e-07
25,1e-06,1.84e-05,2.9e-06,1.8653647303581235e-06,1e-06,4.5e-06,9.331943368911744e-07,9.055361175537108e-07,7.120617294311524e-07,3.4e-07,3e-07,5.144248247146606e-07
26,1.0088658332824707e-06,1.84e-05,2.9e-06,1.4587181210517883e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,3.9036680698394775e-07,3.4e-07,3e-07,5.146458768844605e-07
27,1e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,5.061913871765136e-07,4.6585189342498776e-07,3.4e-07,3e-07,5.663025331497192e-07
28,1e-06,2.4944326210021974e-05,2.9e-06,1e-06,1e-06,7.3363766670227055e-06,9.278622305393219e-07,3.469484949111938e-07,4.271235132217407e-07,3.4e-07,3e-07,5.081314706802368e-07
29,1.0169949531555175e-06,1.84e-05,2.9e-06,1.44791442155838e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,3.4e-07,3.4e-07,3e-07,6.124379062652588e-07
30,1.0042902469635009e-06,1.84e-05,2.9e-06,1.2877644896507263e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,4.203521871566772e-07,3.4e-07,3e-07,5.064672565460205e-07
31,1e-06,1.84e-05,2.9e-06,1.3931502699851988e-06,1e-06,4.5e-06,9.399826490879059e-07,6.382265949249267e-07,3.8194374084472653e-07,3.4e-07,3e-07,4.834358024597168e-07
32,1e-06,2.312389678955078e-05,2.9e-06,1e-06,1e-06,5.822433412075043e-06,9.255028975009918e-07,3.4e-07,4.261068487167358e-07,3.4e-07,3e-07,4.970744609832764e-07
33,1e-06,3.102241439819336e-05,2.9e-06,1e-06,1e-06,1.1969692170619964e-05,9.213449347019196e-07,7.821675205230712e-07,5.110825204849242e-07,3.4e-07,3e-07,5.405400371551514e-07
34,1e-06,1.84e-05,2.9e-06,1.7640469074249268e-06,1e-06,4.5e-06,9.4e-07,9.188443088531494e-07,3.883906269073486e-07,3.4e-07,3e-07,5.083958530426025e-07
35,1.0247085571289063e-06,1.84e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,8.568198347091675e-07,3.9995523929595943e-07,3.4e-07,3e-07,5.025301599502563e-07
36,1.0299791336059569e-06,1.84e-05,2.9e-06,1.2174824476242065e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,7.232269430160523e-07,3.4e-07,3e-07,5.863123416900634e-07
37,1.0057851791381836e-06,1.84e-05,2.9e-06,2.194049060344696e-06,1e-06,4.5e-06,9.4e-07,9.399999999999999e-07,3.508416318893432e-07,3.4e-07,3e-07,5.452511262893677e-07
38,1e-06,3.1896759033203126e-05,2.9e-06,1e-06,1e-06,4.5e-06,9.4e-07,3.4e-07,6.412205123901367e-07,3.4e-07,3e-07,5.237716865539551e-07
