,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1.0118457317352294e-06,3.1587191772460936e-05,2.9e-06,3.825167417526245e-06,1e-06,3.3676573514938354e-05,7.697061252593994e-07,3.4e-07,5.190578365325927e-07,3.4e-07,3e-07,4.6036690711975097e-07
1,1.0138212203979492e-06,3.347626800537109e-05,2.9e-06,2.7984017133712765e-06,5.348023605346679e-06,4.205658066272736e-05,7.589997327327728e-07,3.4e-07,5.101408147811889e-07,3.4e-07,3e-07,4.5082019329071046e-07
2,1.014654016494751e-06,3.1831244468688966e-05,2.9e-06,3.184882521629333e-06,7.379780960083007e-06,3.4853740870952606e-05,7.621394169330596e-07,3.4e-07,5.122651958465576e-07,3.4e-07,3e-07,4.867489814758301e-07
3,1.0169853687286377e-06,3.100730762481689e-05,2.9e-06,4.582884550094604e-06,5.427058219909668e-06,2.641107350587845e-05,8.191935169696808e-07,3.425299310684204e-07,5.00832118988037e-07,3.4e-07,3.5674610137939453e-07,5.19496750831604e-07
4,1.0143260955810547e-06,3.294014778137207e-05,2.9e-06,1e-06,9.58781909942627e-06,3.854618543386459e-05,7.806864666938782e-07,3.4e-07,4.743706607818603e-07,3.4e-07,3.7572798728942866e-07,4.6345587253570557e-07
5,1.007740306854248e-06,3.0845179748535155e-05,2.9e-06,3.865424454212189e-06,4.9394128799438474e-06,2.7589390695095064e-05,8.010605919361115e-07,3.4e-07,5.319498920440674e-07,3.4e-07,3e-07,5.048417234420776e-07
6,1.0105838775634766e-06,3.2561885070800783e-05,2.9e-06,4.180869281291961e-06,2.6450221061706543e-06,2.874005496501923e-05,8.056534028053284e-07,3.574833536148071e-07,5.29122700691223e-07,3.4e-07,3.2489247322082516e-07,5.031578588485717e-07
7,1.0163588523864746e-06,3.142796268463135e-05,2.9e-06,1e-06,6.157838630676269e-06,2.0116863787174226e-05,8.204168784618378e-07,3.4e-07,3.4e-07,3.4e-07,3.785203456878662e-07,4.911111974716186e-07
8,1.0081864833831786e-06,3.1101343154907226e-05,2.9e-06,1.3018656373023985e-06,4.633313369750977e-06,1.855384200811386e-05,8.491111814975739e-07,3.6039723396301266e-07,4.008556032180786e-07,3.4e-07,3.339715003967285e-07,5.478845977783203e-07
9,1.0043113708496094e-06,3.2740763664245604e-05,2.9e-06,4.0033704638481135e-06,8.956386947631836e-06,3.21794793009758e-05,7.688534867763519e-07,3.4e-07,4.755328798294067e-07,3.4e-07,3.91900634765625e-07,4.714115810394287e-07
10,1.0110346317291258e-06,3.342818508148193e-05,2.9e-06,3.408785879611969e-06,4.459615993499756e-06,2.3423328697681428e-05,8.001789700984955e-07,3.5118080615997314e-07,5.256188774108887e-07,3.4e-07,3e-07,4.883475494384765e-07
11,1.008898878097534e-06,3.1913519477844236e-05,2.9e-06,1e-06,5.777016735076904e-06,3.571870005130768e-05,7.601271998882294e-07,3.4e-07,5.269415283203125e-07,3.4e-07,3e-07,4.7296148777008055e-07
12,1.0122809886932373e-06,3.155613193511963e-05,2.9e-06,1.060588538646698e-06,7.679220581054687e-06,3.213671916723251e-05,7.820430636405944e-07,3.425036811828613e-07,4.929163122177123e-07,3.4e-07,3.0247421264648436e-07,5.081905460357666e-07
13,1.0194949626922606e-06,3.141397457122803e-05,2.9e-06,1.9242714047431947e-06,6.210105991363525e-06,1.92394158244133e-05,8.241432678699493e-07,3.6230596542358397e-07,3.764019393920898e-07,3.4e-07,3.804280042648315e-07,5.251360607147216e-07
14,1.0091525077819823e-06,3.080420761108398e-05,2.9e-06,3.3006080389022823e-06,5.870206069946288e-06,2.0888925552368167e-05,8.378396379947662e-07,3.5089141368865963e-07,5.026038074493408e-07,3.4e-07,3.0945847034454344e-07,4.86314811706543e-07
15,1.0098190307617188e-06,3.3147712707519533e-05,2.9e-06,1e-06,1e-06,3.2347594022750856e-05,7.711822235584259e-07,3.4e-07,5.133667612075805e-07,3.4e-07,3.4849984645843504e-07,4.7373517036437987e-07
16,1.0073969364166258e-06,3.143389644622803e-05,2.9e-06,1e-06,8.912498474121094e-06,3.701810264587402e-05,7.580943083763123e-07,3.4e-07,5.139220857620239e-07,3.4e-07,3.6052565574645994e-07,4.5858330249786377e-07
17,1.0111219406127929e-06,3.198397560119629e-05,2.9e-06,1e-06,1e-06,4.291730481386185e-05,7.597400546073914e-07,3.4e-07,4.98940839767456e-07,3.4e-07,3.0720598697662354e-07,4.3958744525909423e-07
18,1.0056851387023926e-06,3.2506350898742677e-05,2.9e-06,1e-06,5.020559406280517e-06,4.360361862182617e-05,7.606672775745392e-07,3.4e-07,5.094389343261718e-07,3.4e-07,3e-07,4.4944794654846194e-07
19,1.009368324279785e-06,2.9792977905273436e-05,2.9e-06,1.9653983712196348e-06,7.915754699707032e-06,2.1003829181194306e-05,8.222763097286225e-07,3.4e-07,5.388374471664429e-07,3.4e-07,3.483236074447632e-07,5.059604978561401e-07
20,1.0123733520507813e-06,3.0287445068359374e-05,2.9e-06,1e-06,1e-06,3.4472053170204165e-05,7.726216161251069e-07,3.4e-07,4.902050638198853e-07,3.4e-07,3.5737702846527097e-07,4.7155303955078124e-07
21,1.0078854084014893e-06,3.2372325706481935e-05,2.9e-06,1e-06,5.8254826545715324e-06,3.365386146306992e-05,7.776103210449219e-07,3.4e-07,5.073153400421142e-07,3.4e-07,3e-07,4.788015174865722e-07
22,1.0094576835632324e-06,3.244598217010498e-05,2.9e-06,1e-06,7.02867317199707e-06,3.984747785329819e-05,7.631034922599793e-07,3.4e-07,5.015346431732178e-07,3.4e-07,3.008787631988525e-07,4.809754037857056e-07
23,1.0052002906799317e-06,3.1122266960144045e-05,2.9e-06,1.6232922673225402e-06,1e-06,2.935613787174225e-05,7.809978544712066e-07,3.4e-07,5.221016788482665e-07,3.4e-07,3e-07,4.7356358528137206e-07
