,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,4.752794075012207e-05,4.490794336795807e-06,1e-06,2.059187602996826e-06,4.330753087997437e-05,6.29694870710373e-07,3.4e-07,3.725711011886596e-07,3.4e-07,3e-07,3.8e-07
1,1.0008237838745118e-06,4.027759418487549e-05,2.9e-06,1e-06,1e-06,2.5142454564571382e-05,6.860833311080932e-07,3.4e-07,3.8150035381317135e-07,3.4e-07,3e-07,3.8617228984832765e-07
2,1.0076142311096191e-06,4.200805416107178e-05,2.9e-06,1e-06,1.308054256439209e-06,2.293779170513153e-05,6.916279983520508e-07,3.4e-07,3.974828147888183e-07,3.4e-07,3e-07,3.818067264556885e-07
3,1.0050187587738037e-06,4.1378822517395024e-05,3.4911465883255007e-06,1e-06,1.905794048309326e-06,4.349406570196152e-05,6.632782697677613e-07,3.4e-07,3.7477494716644283e-07,3.4e-07,3e-07,3.889348840713501e-07
4,1e-06,4.137364749908447e-05,3.347266578674317e-06,1e-06,2.401061916351318e-06,3.7460549354553225e-05,6.527589249610901e-07,3.4e-07,3.938071870803833e-07,3.4e-07,3e-07,3.958114290237427e-07
5,1e-06,4.4493570709228515e-05,4.312559068202972e-06,1e-06,3.0244589805603024e-06,4.729099708795548e-05,5.541405439376831e-07,3.4e-07,3.8042589664459225e-07,3.4e-07,3e-07,3.8e-07
6,1e-06,4.407380084991455e-05,5.468194508552551e-06,1e-06,2.8660361289978026e-06,3.223740357160568e-05,6.647370171546936e-07,3.4e-07,4.642073059082031e-07,3.4e-07,3e-07,3.947804307937622e-07
7,1e-06,4.7601363754272465e-05,7.227836608886719e-06,1e-06,4.580780792236328e-06,5.2667036533355716e-05,5.403029227256775e-07,3.4e-07,4.514230394363403e-07,3.4e-07,3.028378486633301e-07,3.8e-07
8,1.0055234909057616e-06,3.946038875579834e-05,2.9e-06,1e-06,1.6310195922851562e-06,2.4741834461688996e-05,6.868797624111176e-07,3.4e-07,4.081502103805542e-07,3.4e-07,3e-07,3.8e-07
9,1.002831792831421e-06,3.8952701950073245e-05,4.203022742271423e-06,1e-06,3.204855537414551e-06,3.671956723928452e-05,6.779365158081054e-07,3.4e-07,4.129835510253906e-07,3.4e-07,3e-07,3.832369327545166e-07
10,1e-06,4.3427215385437014e-05,3.6985398411750794e-06,1e-06,2.6049940109252926e-06,4.44404239654541e-05,5.691518688201905e-07,3.4e-07,3.6641425132751463e-07,3.4e-07,3e-07,3.8e-07
11,1e-06,4.275994930267334e-05,2.9e-06,1e-06,1.3665885925292968e-06,2.9477006971836092e-05,6.170376002788544e-07,3.4e-07,3.9601217746734616e-07,3.4e-07,3e-07,3.8e-07
12,1e-06,4.516274337768555e-05,4.594184219837189e-06,1e-06,2.216834449768066e-06,3.719547295570374e-05,6.201100313663483e-07,3.4e-07,4.269317531585693e-07,3.4e-07,3e-07,3.8e-07
13,1.0039169311523437e-06,4.16661527633667e-05,3.6526556611061097e-06,1e-06,2.25035982131958e-06,3.7463429629802705e-05,6.367474055290223e-07,3.4e-07,3.755224609375e-07,3.4e-07,3e-07,3.8e-07
14,1e-06,4.414016170501709e-05,4.297951138019562e-06,1e-06,1.9120413780212402e-06,4.1504080116748814e-05,6.112922489643097e-07,3.4e-07,4.213345909118652e-07,3.4e-07,3e-07,3.8e-07
15,1.0062397003173828e-06,3.822624416351319e-05,2.9e-06,1e-06,1.6131321907043455e-06,2.971882486343384e-05,6.597888302803039e-07,3.4e-07,3.5611578464508054e-07,3.4e-07,3e-07,3.8e-07
16,1e-06,4.0468515396118165e-05,2.9e-06,1e-06,2.4305599212646485e-06,4.1244912266731266e-05,5.923653364181519e-07,3.4e-07,3.784442806243896e-07,3.4e-07,3e-07,3.8e-07
17,1e-06,3.863694801330566e-05,2.9e-06,1e-06,1.2546572685241699e-06,3.06341490149498e-05,6.444301450252533e-07,3.4e-07,4.148844146728515e-07,3.4e-07,3e-07,3.8e-07
18,1e-06,3.776120262145996e-05,2.9e-06,1e-06,2.2863114356994626e-06,4.357919889688492e-05,6.153418052196502e-07,3.4e-07,3.5668298244476314e-07,3.4e-07,3e-07,3.9650179862976073e-07
19,1.0001516819000243e-06,3.7616224288940434e-05,2.9e-06,1e-06,3.298408317565918e-06,2.8215639948844913e-05,6.72669951915741e-07,3.4e-07,3.863891267776489e-07,3.4e-07,3e-07,3.8e-07
20,1e-06,4.230839004516602e-05,2.9e-06,1e-06,2.8950822830200194e-06,4.148950797319412e-05,6.025259327888489e-07,3.4e-07,3.514188432693481e-07,3.4e-07,3e-07,3.842968797683716e-07
21,1.0008504390716553e-06,4.311294002532959e-05,2.9e-06,1e-06,2.4668258666992183e-06,3.1724464118480684e-05,6.221001076698303e-07,3.4e-07,3.767597818374634e-07,3.4e-07,3e-07,3.8230753421783447e-07
22,1.0087528705596924e-06,4.228267059326172e-05,2.9e-06,1e-06,1e-06,2.4470166444778443e-05,6.693190264701844e-07,3.4e-07,3.455606126785278e-07,3.4e-07,3e-07,3.8e-07
23,1.005214738845825e-06,4.133906631469727e-05,3.6233819246292116e-06,1e-06,1.9163143157958985e-06,2.394874554872513e-05,6.889358699321747e-07,3.4e-07,4.219648742675781e-07,3.4e-07,3e-07,3.996124601364136e-07
24,1.0063246726989745e-06,4.231498527526856e-05,3.0065036177635195e-06,1e-06,1e-06,3.571945142745972e-05,6.254557740688324e-07,3.4e-07,3.4111873149871826e-07,3.4e-07,3e-07,3.8e-07
25,1e-06,3.966417942047119e-05,2.9e-06,1e-06,1.312936210632324e-06,3.0618552267551424e-05,6.334987771511078e-07,3.4e-07,3.6851109504699705e-07,3.4e-07,3e-07,3.8e-07
26,1.012830638885498e-06,3.800099468231201e-05,3.156229114532471e-06,1e-06,1.3346446990966796e-06,3.383539849519729e-05,6.669681489467621e-07,3.4e-07,3.759845161437988e-07,3.4e-07,3e-07,4.0352401733398437e-07
27,1e-06,4.248357219696045e-05,2.9e-06,1e-06,3.198421573638916e-06,2.883788186311722e-05,6.680824685096741e-07,3.4e-07,3.7454277515411375e-07,3.4e-07,3e-07,3.946339511871338e-07
28,1.0085028171539306e-06,3.8881350898742676e-05,2.9e-06,1e-06,1.4718207359313966e-06,2.7546994864940646e-05,6.862565958499909e-07,3.4e-07,3.677735948562622e-07,3.4e-07,3e-07,3.972227907180786e-07
29,1.0055670738220214e-06,3.62342414855957e-05,2.9e-06,7.049999999999999e-05,1e-06,1.8513040006160738e-05,7.376839661598205e-07,3.4e-07,4.2534753322601314e-07,3.4e-07,3e-07,4.034666156768799e-07
30,1e-06,4.019853897094727e-05,2.9e-06,1e-06,2.5107831001281737e-06,2.8783168017864228e-05,6.576567697525024e-07,3.4e-07,3.9889351367950437e-07,3.4e-07,3e-07,3.8e-07
31,1e-06,4.34265344619751e-05,3.471896994113922e-06,1e-06,1.17089786529541e-06,4.047043699026108e-05,5.801800107955933e-07,3.4e-07,3.965216541290283e-07,3.4e-07,3e-07,3.8e-07
32,1.0007043838500976e-06,3.957092208862305e-05,2.9e-06,1e-06,1.5251194953918456e-06,2.870075571537018e-05,6.653761172294616e-07,3.4e-07,3.548245334625244e-07,3.4e-07,3e-07,3.8e-07
33,1.000747013092041e-06,4.150295486450196e-05,2.9e-06,1e-06,1e-06,2.5269334673881532e-05,6.724063646793365e-07,3.4e-07,3.720647001266479e-07,3.4e-07,3e-07,3.8e-07
34,1e-06,4.125026416778564e-05,4.873656380176544e-06,1e-06,4.25762882232666e-06,4.8532498180866245e-05,6.163050496578217e-07,3.4e-07,4.0557042598724364e-07,3.4e-07,3.010130167007446e-07,3.881419849395752e-07
35,1.0061235427856445e-06,3.894566898345948e-05,3.0485679745674134e-06,1e-06,1.7710737228393555e-06,2.5118604063987733e-05,6.70148937702179e-07,3.4e-07,4.1719225883483883e-07,3.4e-07,3e-07,3.8894808769226075e-07
36,1.0104922294616698e-06,3.6919454765319827e-05,2.9e-06,1e-06,1.3548994064331054e-06,2.1285891234874726e-05,7.119348704814911e-07,3.4e-07,3.9778408050537107e-07,3.4e-07,3.020540714263916e-07,4.1698476791381837e-07
37,1e-06,4.397334518432617e-05,3.0783278703689577e-06,1e-06,1.7405050277709959e-06,4.828644526004791e-05,5.350096237659455e-07,3.4e-07,3.9474495887756344e-07,3.4e-07,3e-07,3.8e-07
38,1e-06,4.4011116981506346e-05,6.283773076534272e-06,1e-06,3.2013487815856936e-06,5.69032952785492e-05,6.242851495742798e-07,3.4e-07,3.9547015666961667e-07,3.4e-07,3.0500063896179196e-07,3.8063433170318603e-07
39,1e-06,4.915228366851807e-05,5.499702262878418e-06,1e-06,2.5088676452636717e-06,4.4777734935283666e-05,5.534491467475891e-07,3.4e-07,3.9696239471435543e-07,3.4e-07,3e-07,3.8e-07
40,1e-06,4.5430219841003424e-05,3.5943281173706056e-06,1e-06,2.6857967376708985e-06,4.308888041973114e-05,6.405653882026672e-07,3.4e-07,3.679278755187988e-07,3.4e-07,3e-07,3.8e-07
41,1.0037834644317627e-06,4.1139633560180664e-05,3.630558562278748e-06,1e-06,1.0805276870727538e-06,2.9591990292072298e-05,7.049691390991211e-07,3.4e-07,3.852094554901123e-07,3.4e-07,3e-07,4.1184155464172364e-07
42,1.0016935348510743e-06,4.7517940902709965e-05,3.4099348306655884e-06,1e-06,1.8151390075683593e-06,3.929492038488388e-05,6.127907812595367e-07,3.4e-07,3.8197514057159423e-07,3.4e-07,3e-07,3.8e-07
43,1.0048959255218505e-06,4.3040849685668946e-05,3.6552948117256166e-06,1e-06,1.4177754402160644e-06,4.453687334060669e-05,6.530839002132416e-07,3.4e-07,3.7843727111816405e-07,3.4e-07,3e-07,3.8e-07
44,1e-06,4.404486160278321e-05,3.860650825500489e-06,1e-06,3.026060104370117e-06,3.881563347578049e-05,6.423859632015228e-07,3.4e-07,3.9282728672027585e-07,3.4e-07,3e-07,3.8e-07
45,1.0023445129394532e-06,4.062095470428467e-05,3.3951879978179934e-06,1e-06,2.8774208068847658e-06,3.316857492923737e-05,7.081398594379425e-07,3.4e-07,4.393096828460693e-07,3.4e-07,3.014847993850708e-07,3.8890748500823977e-07
46,1.0059346199035644e-06,3.558279228210449e-05,3.2263286590576175e-06,1e-06,2.8543665885925293e-06,4.2845867156982424e-05,6.974955880641937e-07,3.4e-07,3.78432765007019e-07,3.4e-07,3e-07,4.088370180130005e-07
47,1.0014901161193846e-06,4.505401935577393e-05,4.351474964618683e-06,1e-06,1.5621810913085938e-06,2.9874792337417606e-05,6.432423651218414e-07,3.4e-07,3.9041344165802e-07,3.4e-07,3e-07,3.834649896621704e-07
48,1.0026376724243163e-06,4.354971351623535e-05,3.831434965133667e-06,1e-06,1e-06,2.2980961680412296e-05,6.983763301372529e-07,3.4e-07,4.1696158885955806e-07,3.4e-07,3e-07,3.8e-07
49,1.001129150390625e-06,4.272659378051758e-05,2.929597842693329e-06,1e-06,3.0878654479980465e-06,3.351466333866119e-05,6.913589859008789e-07,3.4e-07,4.2339717388153075e-07,3.4e-07,3e-07,3.8e-07
50,1.0001965045928955e-06,4.278546447753906e-05,2.9996395111083985e-06,1e-06,1.0360007286071778e-06,2.9085972607135774e-05,6.799614405632019e-07,3.4e-07,3.806943321228027e-07,3.4e-07,3e-07,3.825863599777222e-07
51,1e-06,4.3259591484069826e-05,2.9e-06,1e-06,1.511141586303711e-06,2.550952458381653e-05,6.546515429019928e-07,3.4e-07,3.861034536361694e-07,3.4e-07,3e-07,3.821069383621216e-07
52,1.0005437850952149e-06,4.6097466468811036e-05,3.6332092881202702e-06,1e-06,1.7653568267822264e-06,3.272632175683975e-05,6.589672768115997e-07,3.4e-07,3.987654829025268e-07,3.4e-07,3e-07,3.8e-07
