,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1.114020824432373e-06,2.4408624267578126e-05,6.475887036323547e-06,1e-06,1e-06,4.5e-06,7.343661785125732e-07,3.4e-07,3.561027669906616e-07,3.4e-07,3e-07,3.8e-07
1,1.1415371894836426e-06,1.84e-05,7.2877268075942996e-06,1e-06,1e-06,4.5e-06,5.619402921199799e-07,3.4e-07,3.5513459682464595e-07,3.4e-07,3e-07,3.8e-07
2,1.2197821140289307e-06,5.4880610656738287e-05,1.3539122235774993e-05,1e-06,1e-06,8.262220084667206e-06,6.325229227542877e-07,3.4e-07,3.5064872741699217e-07,3.4e-07,3e-07,3.8e-07
3,1.1650767803192138e-06,2.4849084472656252e-05,1.3842682433128356e-05,1e-06,1e-06,2.580330127477646e-05,5.3e-07,3.4e-07,3.5293919086456294e-07,3.4e-07,3e-07,3.8e-07
4,1.1889931678771971e-06,1.84e-05,6.199586486816407e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5367883682250974e-07,3.4e-07,3e-07,3.8e-07
5,1.0138429164886473e-06,2.934190502166748e-05,8.709881734848022e-06,1e-06,1e-06,2.1467542111873627e-05,7.903485298156738e-07,3.4e-07,3.5984748840332027e-07,4.20423641204834e-07,3e-07,3.8e-07
6,1.2167178153991699e-06,1.84e-05,5.673214840888977e-06,1e-06,1e-06,4.5e-06,5.863044428825378e-07,3.4e-07,3.568900489807129e-07,3.4e-07,3e-07,3.8e-07
7,1.1582493782043456e-06,2.2033786964416505e-05,9.311492323875428e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.513676309585571e-07,3.4e-07,3e-07,3.8e-07
8,1.0409881114959717e-06,2.3479990577697752e-05,1.1982370626926422e-05,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5332492828369137e-07,3.4e-07,3e-07,3.8e-07
9,1.1221156120300291e-06,1.971319980621338e-05,1.3887779498100281e-05,1e-06,1e-06,4.662682610750199e-05,5.3e-07,3.4e-07,3.549876832962036e-07,4.6410366535186764e-07,3e-07,3.8e-07
10,1.1611395359039306e-06,1.84e-05,7.169393312931061e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.532655620574951e-07,3.4e-07,3e-07,3.8e-07
11,1.2580705165863036e-06,3.8767276763916015e-05,5.3732661128044125e-06,1e-06,1e-06,4.5e-06,6.255127143859863e-07,3.4e-07,3.551182174682617e-07,3.4e-07,3e-07,3.8e-07
12,1.2200194358825684e-06,6.110166358947754e-05,6.2649401903152464e-06,1e-06,1e-06,4.5e-06,5.310037624835968e-07,3.4e-07,3.50160493850708e-07,3.4e-07,3e-07,3.8e-07
13,1.1599234104156493e-06,2.3175987434387207e-05,9.648944771289827e-06,1e-06,1e-06,4.5e-06,5.358743834495544e-07,3.4e-07,3.519174480438232e-07,3.4e-07,3e-07,3.8e-07
14,1.1945530414581298e-06,2.5112699127197266e-05,6.799784898757935e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.512146377563476e-07,3.4e-07,3e-07,3.8e-07
15,1.0949260711669922e-06,1.84e-05,9.393687975406647e-06,1e-06,1e-06,7.208289802074432e-06,5.96365088224411e-07,3.4e-07,3.563626909255981e-07,4.011894130706787e-07,3e-07,3.8e-07
16,1.2337210178375244e-06,3.945833625793457e-05,8.624294543266297e-06,1e-06,1e-06,9.045347571372986e-06,5.3e-07,3.4e-07,3.4941584110260006e-07,3.4e-07,3e-07,3.8e-07
17,1.3418414115905761e-06,4.520248012542725e-05,5.503093802928925e-06,1e-06,1e-06,1.6210732400417327e-05,5.311577701568603e-07,3.4e-07,3.6265529632568356e-07,3.4e-07,3e-07,5.976900196075439e-07
18,1.0759840488433838e-06,3.31241138458252e-05,1.6230106699466705e-05,1e-06,1e-06,1.4718226134777069e-05,6.876355290412903e-07,3.4e-07,3.5725039482116694e-07,3.4058536529541013e-07,3e-07,3.8e-07
19,1.1301904201507568e-06,6.215673503875732e-05,1.609730417728424e-05,1e-06,1e-06,3.269964790344238e-05,5.749509835243225e-07,3.4e-07,3.5414861679077147e-07,3.603784942626953e-07,3e-07,3.8e-07
20,1.3134825706481933e-06,5.286511611938477e-05,4.85542540550232e-06,1e-06,1e-06,6.441703975200653e-06,5.3e-07,3.4e-07,3.4507860183715816e-07,3.4e-07,3e-07,3.8e-07
21,1.1726655960083006e-06,1.84e-05,7.709053313732147e-06,1e-06,1e-06,1.633550637960434e-05,5.3e-07,3.4e-07,3.5236290931701656e-07,4.1378535270690916e-07,3e-07,3.8e-07
22,1.1956079959869384e-06,1.84e-05,8.290106308460236e-06,1e-06,1e-06,6.0359722375869755e-06,5.917956399917602e-07,3.4e-07,3.583190584182739e-07,3.4e-07,3e-07,3.8e-07
23,1.1188273429870605e-06,5.140053730010986e-05,3.129866126775742e-05,1e-06,1e-06,3.367024374008179e-05,5.600056409835815e-07,3.4e-07,3.5768040657043455e-07,3.841756248474121e-07,3e-07,3.8e-07
24,1.2367161750793457e-06,5.155509719848633e-05,2.9503240156173707e-05,5.058081626892089e-06,1e-06,3.736217600107193e-05,7.41933913230896e-07,3.4e-07,3.4446541309356686e-07,3.4e-07,3e-07,3.8e-07
25,1.0977797031402588e-06,3.2616378402709965e-05,3.245456293821335e-05,8.994348227977753e-06,1e-06,2.7361006498336795e-05,7.211833953857422e-07,3.4e-07,3.59007134437561e-07,3.8963345527648925e-07,3e-07,3.8e-07
26,1.3276847839355468e-06,2.6381288719177245e-05,6.634537029266357e-06,1e-06,1e-06,5.142704957723618e-05,5.3e-07,3.4e-07,3.5957418918609614e-07,5.316015625e-07,3.421832799911499e-07,4.7154305934906003e-07
27,1.1024478435516358e-06,1.84e-05,9.639094257354736e-06,1e-06,1e-06,5.5871502161026006e-06,6.057089698314667e-07,3.4e-07,3.570797348022461e-07,3.830169820785522e-07,3e-07,3.8e-07
28,1.094840908050537e-06,6.33735939025879e-05,1.301942949295044e-05,1e-06,1e-06,4.5e-06,7.301268863677978e-07,3.4e-07,3.441448354721069e-07,3.4e-07,3e-07,3.8e-07
29,1.154611873626709e-06,1.84e-05,1.0557020938396454e-05,1e-06,1e-06,4.5e-06,6.842209672927857e-07,3.4e-07,3.6110497951507563e-07,3.4e-07,3e-07,3.8e-07
30,1.2266785621643066e-06,4.88892526626587e-05,1.1814935040473938e-05,1e-06,1e-06,2.9535147547721864e-05,5.3e-07,3.4e-07,3.525047445297241e-07,3.4e-07,3e-07,3.8e-07
31,1.095914840698242e-06,1.84e-05,1.0541359663009644e-05,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.525108957290649e-07,3.4e-07,3e-07,3.8e-07
32,1.1854024410247801e-06,4.489249458312988e-05,1.0925911688804628e-05,1e-06,1e-06,1.85830659866333e-05,5.3e-07,3.4e-07,3.510991239547729e-07,3.4e-07,3e-07,3.8e-07
33,1.2946614265441894e-06,1.9875152587890625e-05,4.675708508491516e-06,1e-06,1e-06,4.5e-06,5.794057202339173e-07,3.4e-07,3.5081917285919187e-07,3.4e-07,3e-07,3.8e-07
34,1.1521788120269775e-06,4.615346755981445e-05,1.477069113254547e-05,1e-06,1e-06,4.6560727775096896e-05,6.499963176250457e-07,3.4e-07,3.552300119400024e-07,4.591918611526489e-07,3e-07,3.8e-07
35,1.2759746551513671e-06,4.7568572425842284e-05,9.858409988880158e-06,1e-06,1e-06,5.4482543468475346e-05,5.3e-07,3.4e-07,3.539529943466186e-07,4.531987333297729e-07,3e-07,3.8e-07
36,1.2393930435180663e-06,3.0065464019775394e-05,2.5434121334552764e-05,1.4227878987789153e-05,1e-06,2.878078866004944e-05,6.170971310138702e-07,3.4e-07,3.526431465148925e-07,3.4e-07,3e-07,3.8e-07
37,1.2035715103149412e-06,3.833154411315918e-05,7.91365693807602e-06,1e-06,1e-06,1.173504650592804e-05,5.832103598117828e-07,3.4e-07,3.5197366714477536e-07,3.4e-07,3e-07,3.8e-07
38,1.2809777736663818e-06,6.0933747863769537e-05,6.87818387746811e-06,1e-06,1e-06,2.031754952669144e-05,6.315945756435395e-07,3.4e-07,3.4815019607543943e-07,3.5828451156616207e-07,3e-07,3.8e-07
39,1.2163383483886717e-06,2.8519573211669922e-05,6.610090160369873e-06,1e-06,1e-06,1.899303275346756e-05,5.761213636398315e-07,3.4e-07,3.543155574798584e-07,4.3937076568603514e-07,3e-07,3.8e-07
40,1.3048491954803467e-06,3.1176011276245116e-05,7.515029442310333e-06,1.5069785118103026e-06,1e-06,3.547748553752899e-05,5.490283787250519e-07,3.4e-07,3.533840799331665e-07,3.4445389747619625e-07,3e-07,3.8e-07
41,1.208467960357666e-06,4.841239223480225e-05,8.34901261329651e-06,1e-06,1e-06,1.3599165201187135e-05,5.874347937107086e-07,3.4e-07,3.5053106784820557e-07,3.4e-07,3e-07,3.8e-07
42,1.129524278640747e-06,4.0187517738342283e-05,1.8290577244758604e-05,1e-06,1e-06,2.1343906581401826e-05,7.627256333827972e-07,3.4e-07,3.63285436630249e-07,3.4586409568786617e-07,3e-07,4.0847419738769533e-07
43,1.0811829090118407e-06,2.0455844116210937e-05,9.497413539886475e-06,1e-06,1e-06,4.5e-06,6.914022409915924e-07,3.4e-07,3.622548246383667e-07,3.4e-07,3e-07,3.8e-07
44,1.2309871196746826e-06,5.970538139343262e-05,1.3865659248828887e-05,1e-06,1e-06,3.0796890258789066e-05,7.15158474445343e-07,3.4e-07,3.613396549224853e-07,3.4e-07,3e-07,4.4296149730682373e-07
45,1.182842206954956e-06,1.855600929260254e-05,3.4816811096668243e-05,1.8678655207157135e-05,1e-06,2.851623594760895e-05,6.935076153278351e-07,3.4e-07,3.493027591705322e-07,4.0193070411682126e-07,3e-07,3.8e-07
46,1.218285322189331e-06,1.84e-05,1.0846598267555238e-05,1e-06,1e-06,7.3044545650482186e-06,5.646158516407013e-07,3.4e-07,3.613428735733032e-07,3.4e-07,3e-07,5.241823005676269e-07
47,1.2936991691589354e-06,5.21472282409668e-05,4.918186259269715e-06,1e-06,1e-06,4.5e-06,5.813163244724274e-07,3.4e-07,3.494175577163696e-07,3.4e-07,3e-07,3.8e-07
48,1.1882958889007569e-06,2.3174674224853518e-05,2.498449341058731e-05,1.219434767961502e-05,1e-06,3.405376434326172e-05,5.3e-07,3.4e-07,3.498695993423462e-07,3.4e-07,3e-07,3.8e-07
49,1.1870769500732422e-06,4.067279243469239e-05,2.435886423587799e-05,4.632255136966705e-06,1e-06,1.980776357650757e-05,7.255070960521698e-07,3.4e-07,3.5592538356781004e-07,3.659888172149658e-07,3e-07,3.8e-07
50,1.0470820903778075e-06,2.1976579666137696e-05,2.464690206050873e-05,1e-06,1e-06,1.1842128992080688e-05,5.3e-07,3.4e-07,3.56562819480896e-07,3.52046480178833e-07,3e-07,3.989289712905884e-07
51,1.1632779121398924e-06,1.84e-05,8.542376697063446e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.518329048156738e-07,3.4e-07,3e-07,3.8e-07
52,1.2111655712127684e-06,3.66051794052124e-05,9.163757765293122e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.491703653335571e-07,3.4e-07,3e-07,3.8e-07
53,1.0404841899871826e-06,2.402145118713379e-05,1.3840413689613344e-05,1e-06,1e-06,5.901725792884827e-05,5.3e-07,3.4e-07,3.568580055236816e-07,5.980107688903808e-07,3e-07,3.8e-07
54,1.1981635093688965e-06,1.84e-05,8.652468633651734e-06,1e-06,1e-06,4.5e-06,5.708000588417053e-07,3.4e-07,3.5689898967742917e-07,3.4e-07,3e-07,3.8e-07
55,1.0758235931396485e-06,2.6224112129211425e-05,1.8797953951358794e-05,1e-06,1e-06,4.5e-06,5.315847003459931e-07,3.4e-07,3.529667997360229e-07,3.4e-07,3e-07,3.8e-07
56,1.261043930053711e-06,2.4340658378601075e-05,4.555222022533417e-06,1e-06,1e-06,4.5e-06,5.328312289714814e-07,3.4e-07,3.5312830448150634e-07,3.4e-07,3e-07,3.8e-07
57,1.1899718284606933e-06,6.056033916473389e-05,2.1019505286216737e-05,1e-06,1e-06,3.938727134466171e-05,5.305350923538208e-07,3.4e-07,3.552352333068847e-07,3.473925971984863e-07,3e-07,3.8e-07
58,1.3140844821929932e-06,4.884254131317139e-05,1.7212634694576264e-05,1e-06,1e-06,3.653283888101578e-05,6.516339993476867e-07,3.4e-07,3.402823829650879e-07,3.4e-07,3e-07,3.8e-07
59,1.1501211166381836e-06,6.632506637573242e-05,4.066177732944489e-05,1.2902470529079437e-05,1e-06,4.19874085187912e-05,7.440606462955476e-07,3.4e-07,3.4817258358001706e-07,3.4e-07,3e-07,3.8e-07
60,1.1996684551239014e-06,2.7866382789611817e-05,6.790547871589661e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.503890180587768e-07,3.4e-07,3e-07,3.8e-07
61,1.2667402267456055e-06,3.680003051757813e-05,6.930133473873139e-06,1e-06,1e-06,2.0571662664413455e-05,5.3e-07,3.4e-07,3.507753276824951e-07,3.4e-07,3e-07,3.8e-07
62,1.1264448642730712e-06,1.84e-05,1.2562578630447389e-05,1e-06,1e-06,4.5e-06,5.32529958486557e-07,3.4e-07,3.5105463504791257e-07,3.4e-07,3e-07,3.8e-07
63,1.196890640258789e-06,3.316398677825928e-05,8.803756785392762e-06,1e-06,1e-06,1.7965514481067657e-05,5.3e-07,3.4e-07,3.5149795055389403e-07,3.465228462219238e-07,3e-07,3.8e-07
64,1.1543675422668456e-06,1.84e-05,1.618812336921692e-05,3.974364519119262e-06,1e-06,4.5e-06,6.264431631565094e-07,3.4e-07,3.587660217285156e-07,3.4e-07,3e-07,3.8e-07
65,1.2019954204559326e-06,1.932702865600586e-05,6.287477147579193e-06,1e-06,1e-06,6.259620487689972e-06,5.3e-07,3.4e-07,3.5393990516662597e-07,3.4e-07,3e-07,3.8e-07
66,1.1722778320312498e-06,3.3430976867675784e-05,1.5184968328475952e-05,1e-06,1e-06,1.6876349210739138e-05,5.3e-07,3.4e-07,3.4894026756286617e-07,3.4e-07,3.81156063079834e-07,3.8e-07
67,1.1918452739715576e-06,4.014282970428467e-05,7.381879663467407e-06,1e-06,1e-06,4.5e-06,6.054544246196747e-07,3.4e-07,3.516666078567505e-07,3.4e-07,3e-07,3.8e-07
68,1.2773849487304688e-06,6.557057399749756e-05,9.283133029937745e-06,1e-06,1e-06,2.840444028377533e-05,6.006302845478058e-07,3.4e-07,3.530544900894165e-07,4.3928421974182124e-07,3e-07,3.9472470283508305e-07
69,1.1747622489929198e-06,1.84e-05,6.5336126685142526e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.544913673400879e-07,3.4e-07,3e-07,3.8e-07
70,1.3306826591491698e-06,8.151461086273193e-05,1.1274997234344484e-05,1e-06,1e-06,3.1061090052127836e-05,5.3e-07,3.4e-07,3.4852649211883543e-07,3.4e-07,3e-07,3.8e-07
71,1.073464298248291e-06,7.657724456787109e-05,2.7712379682064057e-05,1e-06,1e-06,2.4014297425746918e-05,5.983864939212799e-07,3.4e-07,3.5971659660339354e-07,3.4e-07,3e-07,5.163710260391236e-07
72,1.1606696605682374e-06,7.746903057098388e-05,3.3705416154861456e-05,1e-06,1e-06,3.8791908204555515e-05,6.19614577293396e-07,3.4e-07,3.515167617797851e-07,3.4e-07,3e-07,3.8e-07
73,1.2078667163848876e-06,1.84e-05,7.485651528835297e-06,6.057614386081695e-06,1e-06,1.6023912966251375e-05,5.580571579933166e-07,3.4e-07,3.5548414230346675e-07,3.4e-07,3e-07,3.8e-07
74,1.1977842330932616e-06,5.1908875846862794e-05,2.4984146153926848e-05,5.878963947296142e-06,1e-06,2.9223280906677247e-05,6.201887702941895e-07,3.4e-07,3.5055338382720943e-07,3.4e-07,3e-07,3.8e-07
75,1.2541244506835937e-06,1.84e-05,5.518465697765351e-06,1e-06,1e-06,4.5e-06,5.439825868606568e-07,3.4e-07,3.5425604820251463e-07,3.4e-07,3e-07,3.8e-07
76,1.1959178447723388e-06,1.84e-05,8.03466430902481e-06,1e-06,1e-06,1.4744581222534179e-05,6.119355034828186e-07,3.4e-07,3.595035934448242e-07,3.7239486217498777e-07,3e-07,3.8e-07
77,1.2098795413970946e-06,3.266266174316406e-05,6.023446333408356e-06,1e-06,1e-06,4.5e-06,6.151190292835236e-07,3.4e-07,3.575460815429687e-07,3.4e-07,3e-07,3.8e-07
78,1.1421013832092284e-06,4.269061183929444e-05,9.22718998193741e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5145360469818113e-07,3.4e-07,3e-07,3.8e-07
79,1.0482331752777098e-06,2.042499828338623e-05,6.807112014293671e-06,1e-06,1e-06,4.5e-06,8.165486025810242e-07,3.4e-07,3.5184363365173336e-07,3.4e-07,3e-07,3.8e-07
80,1.302331018447876e-06,1.84e-05,4.322293829917908e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.513134145736694e-07,3.4e-07,3e-07,3.8e-07
81,1.0654730319976806e-06,2.0135469627380373e-05,2.4259919238090516e-05,4.819472312927246e-06,1e-06,3.360900658369064e-05,6.819131982326507e-07,3.4e-07,3.6006835937499996e-07,3.5707787513732907e-07,3e-07,3.8e-07
82,1.1174044609069823e-06,2.221449432373047e-05,8.523497509956361e-06,1e-06,1e-06,8.941851198673249e-06,7.544923079013825e-07,3.4e-07,3.6023122310638425e-07,5.443484210968017e-07,3e-07,3.8e-07
83,1.182336950302124e-06,1.84e-05,7.089454829692841e-06,1.4674836993217467e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5189405918121335e-07,3.4e-07,3e-07,3.8e-07
84,1.0688386440277099e-06,2.615378246307373e-05,8.83002096414566e-06,1e-06,1e-06,4.5e-06,7.762544083595277e-07,3.4e-07,3.634279870986938e-07,4.870738172531128e-07,3e-07,3.8e-07
85,1.1479943752288817e-06,3.843487911224365e-05,1.160450907945633e-05,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5157069206237793e-07,3.4e-07,3e-07,3.8e-07
86,1.1746784687042236e-06,1.8629150199890137e-05,1.1457040750980378e-05,1e-06,1e-06,2.150301617383957e-05,5.3e-07,3.4e-07,3.531681442260742e-07,4.1952384948730465e-07,3e-07,3.8e-07
87,1.175844097137451e-06,1.84e-05,8.229081737995148e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.54726185798645e-07,3.4e-07,3e-07,3.8e-07
88,1.2540907382965086e-06,1.84e-05,6.789575552940369e-06,1e-06,1e-06,9.367699325084686e-06,5.479544305801392e-07,3.4e-07,3.559901142120361e-07,3.4e-07,3e-07,3.8e-07
89,1.3237178802490234e-06,4.960618724822998e-05,4.348812663555146e-06,1e-06,1e-06,4.5e-06,5.535194301605224e-07,3.4e-07,3.587322616577148e-07,3.4e-07,3e-07,4.357241153717041e-07
90,1.1181556224822998e-06,3.1870757484436034e-05,1.0286426973342895e-05,1e-06,1e-06,4.5e-06,5.996251046657562e-07,3.4e-07,3.5223495006561274e-07,3.642332220077514e-07,3e-07,3.8e-07
91,1.1316779613494872e-06,3.851734867095947e-05,3.947980825901032e-05,1.4471724450588226e-05,1e-06,5.1840317845344545e-05,5.864952540397644e-07,3.4e-07,3.5531662940979e-07,3.4e-07,3e-07,3.8e-07
92,1.2037897586822509e-06,2.7186432075500487e-05,6.347818779945374e-06,1e-06,1e-06,4.5e-06,6.98648030757904e-07,3.4e-07,3.544714832305908e-07,3.4e-07,3e-07,3.8e-07
93,1.0501997470855712e-06,1.9747352981567382e-05,4.474594393968583e-05,2.2666968464851377e-05,1e-06,2.0104648232460022e-05,5.529799878597259e-07,3.4e-07,3.461204433441162e-07,3.4e-07,3e-07,3.8e-07
94,1.249711227416992e-06,5.094924068450928e-05,9.411386489868164e-06,1e-06,1e-06,2.330280113220215e-05,5.549487054347992e-07,3.4e-07,3.5144058704376216e-07,3.4e-07,3e-07,3.8e-07
95,1.0120299816131591e-06,1.867407169342041e-05,2.891047303676605e-05,7.238523364067077e-06,1e-06,4.5e-06,5.661403369903565e-07,3.4e-07,3.5306786537170406e-07,3.4e-07,3e-07,3.8e-07
96,1.1542734622955321e-06,1.870460624694824e-05,6.750034594535828e-06,1e-06,1e-06,4.5e-06,6.29922045469284e-07,3.4e-07,3.606489324569702e-07,3.4e-07,3e-07,3.8e-07
97,1.2556525230407714e-06,4.411605701446533e-05,8.329820895195008e-06,1e-06,1e-06,3.280336058139801e-05,5.3e-07,3.4e-07,3.517613077163696e-07,3.4e-07,3e-07,3.8e-07
98,1.2314832210540771e-06,2.0892928886413573e-05,5.202022278308869e-06,1e-06,1e-06,4.5e-06,5.3e-07,3.4e-07,3.5341547966003413e-07,3.4e-07,3e-07,3.8e-07
99,1.2944209575653076e-06,5.841258983612061e-05,2.8844378519058227e-05,1.2162301123142243e-05,1e-06,2.4675519824028017e-05,7.175923919677734e-07,3.4e-07,3.4534660816192627e-07,3.4e-07,3e-07,4.2043190479278566e-07
100,1.2367226123809815e-06,3.435777206420899e-05,6.5529201388359076e-06,1e-06,1e-06,7.85308438539505e-06,5.3e-07,3.4e-07,3.5409711837768553e-07,3.4e-07,3e-07,3.9400538444519046e-07
