,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,3.1834619903564455e-05,3.0985613584518435e-06,3.2072355747222896e-06,1.0207851409912108e-06,2.1216582477092744e-05,9.4e-07,3.499143028259277e-07,3.4e-07,4.87300910949707e-07,3.026287794113159e-07,5.003828048706054e-07
1,1.0033143043518067e-06,2.7639382362365725e-05,2.9e-06,5.383178532123565e-06,1.5981032371520996e-06,2.2028330564498903e-05,9.087894237041473e-07,3.5227858066558834e-07,3.90272250175476e-07,8.59329810142517e-07,3.073531150817871e-07,4.793835926055909e-07
2,1e-06,3.298760814666748e-05,3.3571981191635132e-06,3.421884536743164e-06,1.1053009033203125e-06,1.784852749109268e-05,9.4e-07,3.722653293609619e-07,3.4e-07,4.6949490547180175e-07,3.0272705554962154e-07,5.052672147750855e-07
3,1e-06,3.2728633499145505e-05,2.9e-06,5.192307651042938e-06,1e-06,2.0863663375377657e-05,9.4e-07,3.8987127780914306e-07,3.4970880985260006e-07,4.626494789123535e-07,3.035684823989868e-07,5.096060609817505e-07
4,1e-06,3.0243768692016603e-05,2.9e-06,4.2311097979545594e-06,1.4433737754821776e-06,2.1585610628128052e-05,9.4e-07,3.7079175949096674e-07,3.4e-07,5.084083223342895e-07,3.0541398525238033e-07,5.020067882537842e-07
5,1e-06,3.35814998626709e-05,3.5428068041801456e-06,4.972173988819122e-06,1.9415197372436523e-06,2.114970999956131e-05,9.4e-07,3.617190265655517e-07,3.4e-07,5.688856983184814e-07,3e-07,4.87410774230957e-07
6,1e-06,3.0146863555908204e-05,2.9e-06,4.862562835216522e-06,1.9343883514404294e-06,1.9693884551525118e-05,9.4e-07,3.6048757076263426e-07,3.4e-07,4.867618227005004e-07,3.032156467437744e-07,5.036123609542847e-07
7,1e-06,3.3419342803955076e-05,2.9e-06,2.754176139831543e-06,1.2229294776916503e-06,2.3462240874767306e-05,9.4e-07,3.4e-07,3.4e-07,5.385901832580566e-07,3e-07,4.850297832489013e-07
8,1e-06,3.06232084274292e-05,3.1030525445938114e-06,5.211876928806304e-06,2.6704730987548827e-06,1.997302079200745e-05,9.4e-07,3.4840682983398437e-07,3.4e-07,5.805295610427856e-07,3e-07,4.922477626800537e-07
9,1e-06,3.150596733093262e-05,2.9e-06,4.424482762813568e-06,2.119431114196777e-06,2.1427924096584322e-05,9.4e-07,3.5962625980377194e-07,3.4e-07,5.266298198699951e-07,3.0025506019592284e-07,4.992475414276123e-07
10,1.0016350269317626e-06,3.1512027549743654e-05,2.948407578468323e-06,2.926969051361084e-06,2.8968995094299315e-06,2.1122580766677857e-05,9.372864151000977e-07,3.4e-07,3.4e-07,6.607776069641113e-07,3.0613818168640133e-07,4.806013631820679e-07
11,1e-06,3.1267858123779294e-05,2.9e-06,2.7312514185905456e-06,2.405472373962402e-06,2.0375496566295624e-05,9.4e-07,3.571989679336548e-07,3.4e-07,5.212323570251464e-07,3.0379693508148193e-07,4.930576467514038e-07
