,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,4.470614528656006e-05,1.0049123346805573e-05,1e-06,1.6742499351501463e-06,5.5601854860782624e-05,9.250823211669922e-07,8.424621486663819e-07,8.880701446533202e-07,8.808405542373656e-07,3e-07,5.090834951400756e-07
1,1.0022793769836425e-06,4.056112098693848e-05,1.5624606835842133e-05,1e-06,3.7936368942260737e-06,5.4064436793327334e-05,9.4e-07,7.550478839874267e-07,9.399999999999999e-07,4.910526418685913e-07,3e-07,5.785320615768432e-07
2,1e-06,4.130168361663818e-05,4.434619784355164e-06,1e-06,3.9118548393249514e-06,6.339166742563248e-05,9.258105707168579e-07,7.017300033569335e-07,7.513896369934081e-07,6.852166080474853e-07,3e-07,5.607020902633666e-07
3,1e-06,4.382358093261719e-05,8.688479149341584e-06,1e-06,1.7832736968994141e-06,5.127378022670746e-05,9.342399859428406e-07,6.806436204910278e-07,9.399999999999999e-07,8.789821052551269e-07,3e-07,4.778690814971923e-07
4,1.0137112140655516e-06,8.0675071144104e-05,1.2559048187732697e-05,1e-06,1.3178869247436523e-06,4.4429790854454046e-05,8.935013151168823e-07,8.576481008529663e-07,9.399999999999999e-07,7.979002141952514e-07,3e-07,4.571701431274414e-07
5,1.0238750457763672e-06,4.6962210083007816e-05,1.1855633521080018e-05,1e-06,3.344958782196045e-06,5.3757989168167115e-05,9.4e-07,8.11964430809021e-07,9.399999999999999e-07,6.102240467071533e-07,3e-07,5.364773511886596e-07
6,1e-06,3.4426175689697266e-05,1.3980138194561004e-05,1e-06,1e-06,5.0554884016513824e-05,9.4e-07,6.745306873321533e-07,9.399999999999999e-07,5.54652395248413e-07,3e-07,5.449914550781249e-07
7,1.0169174671173095e-06,3.98731840133667e-05,1.0067122817039491e-05,1e-06,2.3255438804626464e-06,6.044872057437897e-05,9.265578818321228e-07,7.530960941314697e-07,7.201805257797241e-07,7.729620361328124e-07,3e-07,5.234473609924317e-07
8,1.0003543853759765e-06,9.932917366027832e-05,2.9e-06,1e-06,1e-06,2.4029620945453645e-05,8.607221186161041e-07,9.279543781280516e-07,8.271384382247924e-07,9.031025314331054e-07,3e-07,3.8479328632354737e-07
9,1e-06,5.448914775848389e-05,7.696690976619721e-06,1e-06,1.5291173934936523e-06,5.1813780605793004e-05,9.206429314613343e-07,6.720089817047119e-07,9.399999999999999e-07,9.022915744781494e-07,3e-07,4.871728610992431e-07
10,1e-06,4.193271484375e-05,1.4266636514663695e-05,1e-06,1e-06,4.504638606309891e-05,9.340775716304779e-07,7.171186590194702e-07,9.399999999999999e-07,5.31469383239746e-07,3e-07,5.261567068099975e-07
11,1.0126095294952392e-06,4.8273357391357424e-05,1.2740084660053253e-05,1e-06,4.9309357643127434e-06,5.789704716205597e-05,9.4e-07,7.118896389007568e-07,9.399999999999999e-07,5.88152470588684e-07,3e-07,5.697562408447266e-07
12,1.014647626876831e-06,3.0510836601257323e-05,7.62174141407013e-06,1e-06,1e-06,6.095033246278763e-05,9.302320718765259e-07,7.582889938354491e-07,8.120155715942383e-07,8.555423879623413e-07,3e-07,5.237436056137085e-07
13,1.0117633819580079e-06,9.357872638702393e-05,2.9e-06,1e-06,1e-06,1.570349657535553e-05,8.88529521226883e-07,9.061122560501097e-07,9.399999999999999e-07,7.51454153060913e-07,3e-07,3.9255050659179687e-07
14,1.0136739253997802e-06,9.438359737396241e-05,2.9e-06,1e-06,2.823611259460449e-06,2.520489847660065e-05,9.394753181934356e-07,9.394215011596679e-07,5.82430567741394e-07,9.246722126007079e-07,3e-07,3.8e-07
15,1.0153653621673584e-06,3.9054714012145994e-05,6.744374310970306e-06,3.080847203731537e-06,2.0707098007202147e-06,4.935470861196518e-05,9.4e-07,6.578227424621581e-07,9.399999999999999e-07,5.487800741195679e-07,3e-07,5.536819791793824e-07
16,1.0132890701293945e-06,4.377387351989746e-05,1.691574182510376e-05,1e-06,6.481746959686279e-06,6.320816087722778e-05,9.256679511070251e-07,8.411254072189331e-07,7.491866493225097e-07,6.774464273452759e-07,3e-07,5.355258226394653e-07
17,1.0040917873382567e-06,6.445099964141846e-05,2.9e-06,1e-06,1e-06,3.770891332626343e-05,9.200056886672974e-07,7.575793170928955e-07,3.79392352104187e-07,9.152347707748412e-07,3e-07,4.057569789886475e-07
18,1.0013627529144287e-06,5.957814598083496e-05,2.9e-06,1e-06,1e-06,3.4590770602226255e-05,9.103802335262298e-07,8.05374207496643e-07,3.8376363754272456e-07,9.255546236038207e-07,3e-07,4.020466995239258e-07
19,1e-06,4.542650394439698e-05,6.170370626449585e-06,1e-06,6.666878128051757e-06,5.615637046098709e-05,9.376351928710938e-07,8.838770294189452e-07,4.260483407974243e-07,8.130192184448241e-07,3e-07,4.84006781578064e-07
20,1.0062626361846923e-06,4.5366874504089354e-05,1.8163550758361815e-05,1e-06,1.318034267425537e-06,4.316795706748963e-05,9.4e-07,7.346228981018066e-07,9.399999999999999e-07,3.7051288127899166e-07,3e-07,5.798513078689575e-07
21,1.0120063304901122e-06,9.064667968750001e-05,2.9e-06,1e-06,1e-06,1.5634677350521087e-05,8.949015581607819e-07,9.144246006011962e-07,9.399999999999999e-07,7.911620044708251e-07,3e-07,3.9401127338409427e-07
22,1e-06,3.863677291870117e-05,9.528643488883973e-06,1e-06,1.6302730560302733e-06,5.564469468593598e-05,9.397084069252015e-07,6.080222749710082e-07,9.399999999999999e-07,8.269905948638915e-07,3e-07,5.028675031661987e-07
23,1.017973804473877e-06,4.208372421264649e-05,1.7011121654510498e-05,1e-06,3.5309543609619137e-06,4.423696041107178e-05,9.4e-07,7.636243724822998e-07,9.399999999999999e-07,3.4e-07,3e-07,5.932916641235351e-07
24,1.013063383102417e-06,6.19893835067749e-05,5.881117403507233e-06,1e-06,2.4786722183227538e-06,4.191058599948883e-05,9.326683843135833e-07,8.72681918144226e-07,4.7583514690399165e-07,5.344766044616699e-07,3e-07,4.928698825836182e-07
25,1.0100832939147949e-06,6.605704517364502e-05,2.029116916656494e-05,1e-06,3.846591854095459e-06,5.041389852762223e-05,9.232716679573059e-07,8.696316385269164e-07,9.399999999999999e-07,5.628371381759643e-07,3e-07,5.279140281677246e-07
26,1.003073215484619e-06,9.585115280151367e-05,2.9e-06,1e-06,1e-06,1.5573406040668487e-05,8.975280952453613e-07,8.819512748718261e-07,9.399999999999999e-07,8.205347681045532e-07,3e-07,3.8e-07
27,1e-06,3.279852542877198e-05,9.915938842296602e-06,1e-06,1e-06,5.683954215049744e-05,9.4e-07,6.272493505477905e-07,9.399999999999999e-07,8.123392963409423e-07,3e-07,5.107038831710815e-07
28,1.0093475818634033e-06,6.313632125854493e-05,2.184985383749008e-05,1e-06,3.0830522537231447e-06,4.6636741995811465e-05,9.273958086967469e-07,8.731695795059203e-07,9.399999999999999e-07,4.5284575462341306e-07,3e-07,5.535867023468017e-07
29,1e-06,7.098690185546875e-05,2.9e-06,1e-06,6.459950065612792e-06,2.2832963347435e-05,9.285817313194276e-07,9.253135108947753e-07,4.4086035728454586e-07,8.617015981674195e-07,3e-07,3.8e-07
30,1e-06,5.016906776428223e-05,2.9e-06,1.0117067694664001e-06,3.759590911865234e-06,5.510914564132691e-05,8.991752099990844e-07,6.595487976074218e-07,5.929817342758179e-07,7.339717292785644e-07,3e-07,5.434392547607421e-07
31,1e-06,6.264486961364747e-05,8.455932939052583e-06,1e-06,1e-06,4.9620183467864994e-05,9.060217821598053e-07,7.039906406402587e-07,9.399999999999999e-07,9.379211091995239e-07,3e-07,4.632750511169434e-07
32,1.008961820602417e-06,4.246750240325928e-05,1.0798109662532805e-05,1e-06,6.638853549957275e-06,5.902365601062775e-05,9.367673051357269e-07,7.153298759460449e-07,8.801260137557983e-07,5.4318763256073e-07,3e-07,5.836124801635742e-07
33,1.0111792087554932e-06,8.478354930877685e-05,2.1031057357788084e-05,1e-06,4.8678239822387695e-06,5.8946867644786836e-05,8.837376880645752e-07,9.2916916847229e-07,9.276858711242675e-07,5.645450258255004e-07,3e-07,5.439490509033202e-07
34,1e-06,3.9574997901916506e-05,8.721132850646974e-06,1e-06,2.646967029571533e-06,6.145974272489547e-05,9.360054779052734e-07,6.035384082794189e-07,9.399999999999999e-07,9.333462619781494e-07,3e-07,5.016895294189453e-07
35,1e-06,3.803838710784912e-05,1.1559030032157898e-05,1e-06,4.617046737670898e-06,5.466362512111664e-05,9.4e-07,6.546591663360595e-07,9.399999999999999e-07,5.256463432312011e-07,3e-07,5.716953754425049e-07
36,1.0110694408416747e-06,3.519439353942871e-05,1.8171664988994598e-05,1e-06,2.2721567153930663e-06,5.285572302341461e-05,9.4e-07,6.775733137130737e-07,9.399999999999999e-07,4.928200387954711e-07,3e-07,5.593905925750732e-07
37,1e-06,3.625663414001465e-05,9.377806770801544e-06,1e-06,1e-06,5.361377048492432e-05,9.4e-07,6.527166748046875e-07,9.399999999999999e-07,7.400120639801025e-07,3e-07,5.211642503738403e-07
38,1.0066447734832763e-06,4.887090663909912e-05,9.807479012012482e-06,1e-06,1.4126380920410156e-06,6.246856766939164e-05,9.4e-07,9.119193458557128e-07,4.784665727615356e-07,6.702357912063598e-07,3.046062469482422e-07,4.882066488265991e-07
39,1.0028789520263671e-06,5.105469627380371e-05,6.843284583091736e-06,1e-06,3.7838336944580074e-06,5.827287185192108e-05,8.952382636070252e-07,6.526348495483398e-07,7.529587650299072e-07,8.315841817855834e-07,3e-07,5.169122505187988e-07
40,1.0053412437438965e-06,2.912082862854004e-05,1.3368538188934327e-05,1e-06,1.8127029418945312e-06,5.4060736835002905e-05,9.4e-07,6.246792936325073e-07,9.399999999999999e-07,5.854468011856079e-07,3e-07,5.448251390457153e-07
41,1.00066819190979e-06,3.428875560760498e-05,9.293481278419496e-06,1e-06,2.3378617286682126e-06,6.17395961880684e-05,9.4e-07,5.820746564865112e-07,9.399999999999999e-07,8.801147842407226e-07,3e-07,5.074800300598145e-07
42,1.0015135765075684e-06,4.598506546020508e-05,1.3949035573005677e-05,1e-06,4.769084739685059e-06,6.194582617282868e-05,9.165606772899628e-07,6.458689594268798e-07,9.399999999999999e-07,9.209412956237793e-07,3e-07,4.983379173278808e-07
43,1.0046488285064698e-06,4.723031883239746e-05,8.639133977890014e-06,1e-06,3.3332303047180175e-06,5.1625651955604555e-05,9.4e-07,7.221346044540405e-07,9.399999999999999e-07,5.193619632720947e-07,3e-07,5.734083127975464e-07
44,1e-06,3.379892845153809e-05,1.3551912856101991e-05,1e-06,2.0952963829040525e-06,5.834691655635834e-05,9.4e-07,6.068507575988769e-07,9.399999999999999e-07,7.068142557144165e-07,3e-07,5.278291034698486e-07
45,1.0172186374664307e-06,4.3772920227050783e-05,9.892776823043824e-06,1e-06,2.2215887069702148e-06,5.388242161273956e-05,9.4e-07,8.302636766433716e-07,9.399999999999999e-07,6.690106296539306e-07,3e-07,5.349974918365478e-07
46,1.0111296653747558e-06,5.210575027465821e-05,6.627649772167206e-06,1e-06,1e-06,4.7011246085166934e-05,9.092021799087525e-07,8.508252048492432e-07,9.399999999999999e-07,8.79331007003784e-07,3e-07,4.724136924743652e-07
47,1e-06,4.505447654724121e-05,4.2710503220558166e-06,1e-06,2.3562108039855956e-06,5.6475158870220186e-05,9.37956258058548e-07,6.239823484420776e-07,9.399999999999999e-07,8.593805932998657e-07,3e-07,5.118467712402344e-07
48,1.0020742893218993e-06,3.079201908111572e-05,1.3011442589759826e-05,1e-06,5.0900363922119135e-06,5.972118353843689e-05,9.4e-07,6.452785158157348e-07,9.399999999999999e-07,5.311912202835083e-07,3e-07,5.800082015991211e-07
49,1e-06,3.1673075675964355e-05,1.1918440675735476e-05,9.760300695896149e-06,1.1554956436157226e-06,4.7145674109458924e-05,9.4e-07,5.980857276916503e-07,9.399999999999999e-07,5.744436645507812e-07,3e-07,5.45414342880249e-07
50,1.0073794841766358e-06,9.461171646118165e-05,1.081659529209137e-05,1e-06,1e-06,4.429349577426911e-05,8.64609602689743e-07,9.245559835433959e-07,9.399999999999999e-07,7.430235767364501e-07,3e-07,4.6940537452697754e-07
