,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1.2181398391723632e-06,2.8293759536743167e-05,2.9e-06,2.8817869186401366e-05,1.9299582481384275e-06,7.300447225570678e-06,8.817481493949891e-07,3.4e-07,6.837690019607543e-07,3.4e-07,3e-07,6.411799573898315e-07
1,1.001249647140503e-06,2.2218161582946777e-05,2.9e-06,1.1814163506031037e-05,2.085394954681396e-06,4.5e-06,6.09708868265152e-07,3.4e-07,5.655966663360596e-07,3.4e-07,3e-07,4.703404140472412e-07
2,1.1869443893432616e-06,2.5755354690551757e-05,2.9e-06,1.759048902988434e-05,1.0559868240356445e-05,4.5e-06,8.155702066421509e-07,3.4e-07,5.483193063735962e-07,3.4e-07,3e-07,6.277266454696655e-07
3,1e-06,8.643239574432373e-05,9.065241050720216e-06,5.6833643257617944e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,4.509503698348999e-07
4,1e-06,8.275359973907471e-05,1.0968022346496582e-05,6.045272517204284e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,4.5009541988372805e-07
5,1.3090551376342772e-06,2.8230706024169923e-05,2.9e-06,2.5228572010993957e-05,3.561670398712158e-06,4.5e-06,8.315814816951753e-07,3.4e-07,6.215926790237427e-07,3.4e-07,3e-07,5.519542264938354e-07
6,1e-06,7.431446781158447e-05,7.020489656925202e-06,5.684438896179199e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,4.296609878540039e-07
7,1e-06,7.692629566192627e-05,4.153330314159394e-06,6.677887946367263e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,6.258819198608398e-07
8,1.115078353881836e-06,2.347060356140137e-05,2.9e-06,1.5195448040962218e-05,1e-06,4.5e-06,6.819000017642975e-07,3.4e-07,5.627378606796265e-07,3.4e-07,3e-07,4.847882127761841e-07
9,1.0346277236938476e-06,2.4349578475952148e-05,2.9e-06,3.26976483464241e-05,2.2488765716552736e-06,4.5e-06,7.384071815013886e-07,3.4e-07,8.390947246551513e-07,3.4e-07,3e-07,6.509941530227661e-07
10,1e-06,9.360855083465576e-05,5.568169701099396e-06,6.262760764360427e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,4.280396699905396e-07
11,1.0302904605865479e-06,2.4334792709350585e-05,2.9e-06,1.832949024438858e-05,1.0465799331665038e-06,4.5e-06,7.872811329364776e-07,3.4e-07,6.436441564559936e-07,3.4e-07,3e-07,6.350589942932129e-07
12,1e-06,9.041388168334961e-05,2.9e-06,6.842653477191924e-05,1e-06,4.5e-06,5.3e-07,3.4e-07,3.4e-07,3.4e-07,3e-07,5.149308395385742e-07
13,1.1893945217132567e-06,2.6846573448181152e-05,2.9e-06,2.2386063992977142e-05,2.1268964767456052e-06,4.5e-06,8.035663568973541e-07,3.4e-07,6.190749073028565e-07,3.4e-07,3e-07,5.860258913040161e-07
