,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1e-06,6.564619541168213e-05,2.9e-06,1.0966561913490296e-05,2.4658828735351563e-06,2.0570581138134005e-05,8.331638360023499e-07,9.252889776229857e-07,4.5187372207641596e-07,4.771004343032837e-07,3.270517587661743e-07,6.527716207504272e-07
1,1e-06,5.5516097068786624e-05,5.952629125118256e-06,8.82157188653946e-06,3.8732510566711425e-06,1.3100251436233521e-05,9.004562938213349e-07,7.963473939895629e-07,4.3297981262207027e-07,6.424908781051635e-07,3.1516664028167723e-07,5.736485195159912e-07
2,1.0020648956298829e-06,5.975254993438721e-05,4.930201339721679e-06,3.1538550257682794e-06,4.98512840270996e-06,1.2268273115158082e-05,9.021178269386292e-07,7.831022882461548e-07,3.4e-07,6.839565420150756e-07,3e-07,5.280189132690429e-07
3,1e-06,5.104658355712891e-05,3.7963388919830327e-06,8.752482891082764e-06,3.7000644683837887e-06,4.5221433937549596e-05,9.4e-07,9.375574016571045e-07,3.4e-07,6.348759794235229e-07,3e-07,4.953543949127197e-07
4,1e-06,6.120922031402588e-05,6.973691034317017e-06,3.855391263961792e-06,3.4393170356750483e-06,1.547555637359619e-05,8.880133438110351e-07,8.88333430290222e-07,4.622654581069946e-07,5.277110004425049e-07,3.113797903060913e-07,6.206164646148681e-07
5,1.0080191612243651e-06,5.739139919281006e-05,9.815882623195647e-06,4.2707040309906e-06,5.045607662200928e-06,8.395543813705445e-06,9.158409810066223e-07,7.81680359840393e-07,3.951141738891601e-07,6.948553943634033e-07,3.134850740432739e-07,5.530922174453735e-07
6,1e-06,4.961472797393799e-05,5.071743154525757e-06,1.5732754468917846e-06,1e-06,1.4172727048397065e-05,8.747370612621308e-07,6.214632892608642e-07,3.511816644668579e-07,6.279697561264037e-07,3.1196444034576415e-07,5.961981964111328e-07
7,1.0049431324005126e-06,8.123259181976318e-05,8.103336209058762e-05,4.623506128787994e-06,1.1845993041992188e-05,9.021127641201019e-05,8.98721398115158e-07,3.4643894672393795e-07,3.446263456344604e-07,8.895173931121825e-07,3.157449960708618e-07,7.024323606491088e-07
8,1e-06,5.978491325378418e-05,3.997388923168182e-06,1.252188503742218e-06,1e-06,1.4642701447010041e-05,9.176418101787567e-07,7.915440225601196e-07,3.79133358001709e-07,6.724792623519897e-07,3.310988903045654e-07,5.706848955154418e-07
9,1e-06,5.685925750732422e-05,8.645222544670105e-06,5.8541750907897945e-06,5.665478324890137e-06,4.5e-06,9.003378677368164e-07,8.011159324645995e-07,4.584916257858276e-07,5.392585897445679e-07,3.0999841690063475e-07,5.2854501247406e-07
