,w8,w6,w4,w10,w1,w0,l8,l6,l4,l10,l1,l0
0,1.20000028e-06,5.920408e-05,5.1450140795e-05,3.57524419806357e-05,4.220109610495828e-05,5.225354675781875e-05,7.350001895558881e-07,6.40000102e-07,6.400001267427289e-07,6.400002496690817e-07,6.000001741348135e-07,6.400001482127879e-07
1,1.2000001999999998e-06,5.920112644198281e-05,5.1450140795e-05,3.575008252623496e-05,4.220004119999999e-05,5.225094297478039e-05,7.350001809801231e-07,6.400001060656709e-07,6.400001208076388e-07,6.400002814190764e-07,6.0000009e-07,6.400002053458745e-07
2,1.20000028e-06,5.920408e-05,5.1450140795e-05,3.575126285670497e-05,4.2200045156359245e-05,5.2250214875e-05,7.350001927e-07,6.40000102e-07,6.40000102e-07,6.400002194562715e-07,6.0000009e-07,6.400001014136047e-07
3,1.2000001999999998e-06,5.9201860921662524e-05,5.1450140795e-05,3.575008435234652e-05,4.220004119999999e-05,5.225062267898039e-05,7.350001225967374e-07,6.400001051832778e-07,6.400001142153323e-07,6.400002675558967e-07,6.000000900639439e-07,6.400001429813479e-07
4,1.2000002270540928e-06,5.9202665439149015e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.225104331363428e-05,7.350001927e-07,6.400001195544893e-07,6.40000149161721e-07,6.40000282e-07,6.0000009e-07,6.400001234877485e-07
5,1.2000001999999998e-06,5.920106351400334e-05,5.1450140795e-05,3.575007396205889e-05,4.220004119999999e-05,5.225122916181728e-05,7.350001292737393e-07,6.40000102e-07,6.40000102e-07,6.400002769096608e-07,6.0000009e-07,6.400001198204765e-07
6,1.2000001999999998e-06,5.920087022695271e-05,5.1450140795e-05,3.5750087437108235e-05,4.220004119999999e-05,5.225109545976039e-05,7.350001806090845e-07,6.40000102e-07,6.40000104496407e-07,6.400002597911592e-07,6.0000009e-07,6.400001412999761e-07
7,1.2000002098111295e-06,5.920128975260368e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.225024703505982e-05,7.350001913567904e-07,6.40000102e-07,6.400001273327399e-07,6.400002795021553e-07,6.0000009e-07,6.400000987999999e-07
8,1.2000002012660456e-06,5.920103948553147e-05,5.1450140795e-05,3.5750053628528655e-05,4.220004119999999e-05,5.225105056375099e-05,7.350001918666798e-07,6.40000102e-07,6.400001727399957e-07,6.400002815398831e-07,6.0000009e-07,6.400001636941853e-07
9,1.2000001999999998e-06,5.920167913285278e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.225071411201964e-05,7.350001822827987e-07,6.400001413187487e-07,6.400001336290325e-07,6.400002655958885e-07,6.0000009e-07,6.400001306112793e-07
10,1.2000002441964244e-06,5.920162437149578e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.225060166127961e-05,7.350001927e-07,6.40000102e-07,6.400001451458265e-07,6.40000282e-07,6.0000009e-07,6.400001263959818e-07
11,1.2000002102944493e-06,5.9201881443392184e-05,5.1450140795e-05,3.575202102704714e-05,4.220004195658895e-05,5.225040395915304e-05,7.350001094743477e-07,6.40000102e-07,6.40000102e-07,6.400001457824541e-07,6.0000009e-07,6.400001027432328e-07
12,1.20000028e-06,5.920408e-05,5.1450140795e-05,3.575221955073165e-05,4.220099830384658e-05,5.2250310682055274e-05,7.350001747912632e-07,6.40000102e-07,6.400001187719494e-07,6.400002233989901e-07,6.000002691877412e-07,6.400001626978265e-07
13,1.2000002521628523e-06,5.9202266183108975e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.225074673496274e-05,7.350001927e-07,6.400001118963909e-07,6.400001153723194e-07,6.400002528049272e-07,6.0000009e-07,6.400001289407746e-07
14,1.2000001999999998e-06,5.920087886526837e-05,5.1450140795e-05,3.575003474999999e-05,4.220004119999999e-05,5.2252888668795636e-05,7.35000172209999e-07,6.40000102e-07,6.40000104161029e-07,6.400002654467578e-07,6.0000009e-07,6.400001326307514e-07
15,1.20000028e-06,5.920408e-05,5.1450140795e-05,3.575003474999999e-05,4.220006108661388e-05,5.225051638515885e-05,7.350001920363607e-07,6.40000102e-07,6.400001047073466e-07,6.40000282e-07,6.000001198801249e-07,6.400001428393964e-07
16,1.2000002007908535e-06,5.920108689863484e-05,5.1450140795e-05,3.575004061592725e-05,4.220004119999999e-05,5.225041397624091e-05,7.350001710841383e-07,6.40000102e-07,6.400001029578705e-07,6.400002491769928e-07,6.0000009e-07,6.400001336210341e-07
17,1.2000001999999998e-06,5.9200934973143736e-05,5.1450140795e-05,3.5750053535463255e-05,4.220004999618129e-05,5.2250863145896245e-05,7.350001841248262e-07,6.40000102e-07,6.400001073230798e-07,6.400001960189897e-07,6.0000009e-07,6.400002329331933e-07
