,_wpmbiasp,_wp5,_wp4,_wp1,_wp0,_wnmbiasp,_wnmbiasn,_wn8,_wn6,_wn4,_wn0,_nfpmbiasp,_nfp5,_nfp4,_nfp1,_nfp0,_nfnmbiasp,_nfnmbiasn,_nfn8,_nfn6,_nfn4,_nfn0,_lpmbiasp,_lp5,_lp4,_lp1,_lp0,_lnmbiasp,_lnmbiasn,_ln8,_ln6,_ln4,_ln0,fom,gdc,idd,gbw,pm,cload
0,9.12E-6,1.0E-5,7.42E-6,1.2E-7,1.6E-7,1.7E-6,5.98E-6,6.16E-6,1.2E-7,2.94E-6,1.8E-7,9.0,4.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.78E-6,2.2E-7,6.0E-8,2.8E-7,2.0E-7,9.8E-7,1.18E-6,6.6E-7,1.2E-6,1.94E-6,8.4E-7,7213.2,48.176,3.0321E-4,3.6452E8,61.736,5e-13
1,8.06E-6,9.5E-6,7.82E-6,1.2E-7,2.6E-7,1.62E-6,8.04E-6,5.82E-6,1.2E-7,3.68E-6,1.6E-7,2.0,4.0,1.0,2.0,1.0,17.0,4.0,1.0,1.0,1.0,2.0,1.96E-6,2.2E-7,6.0E-8,5.6E-7,1.8E-7,1.42E-6,1.78E-6,6.0E-7,1.08E-6,1.98E-6,4.4E-7,8309.9,47.959,2.9003E-4,4.0169E8,60.25,5e-13
2,9.6E-6,5.92E-6,7.84E-6,1.6E-7,2.4E-7,1.58E-6,7.12E-6,5.52E-6,1.4E-7,2.92E-6,1.6E-7,5.0,8.0,1.0,1.0,1.0,14.0,3.0,1.0,1.0,1.0,2.0,1.92E-6,2.6E-7,6.0E-8,3.4E-7,1.6E-7,1.14E-6,1.66E-6,6.2E-7,1.56E-6,1.86E-6,4.4E-7,8807.9,47.951,2.9271E-4,4.2969E8,61.159,5e-13
3,8.3E-6,8.98E-6,7.16E-6,1.2E-7,2.4E-7,1.66E-6,6.32E-6,5.1E-6,1.4E-7,3.26E-6,2.0E-7,7.0,5.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,2.0,1.78E-6,2.2E-7,6.0E-8,2.8E-7,1.6E-7,1.38E-6,1.3E-6,6.2E-7,1.96E-6,1.66E-6,5.2E-7,10061.0,47.942,2.6449E-4,4.4349E8,60.101,5e-13
4,8.78E-6,5.58E-6,8.04E-6,1.4E-7,3.2E-7,2.04E-6,8.16E-6,8.72E-6,1.2E-7,4.1E-6,2.2E-7,9.0,8.0,1.0,1.0,1.0,12.0,4.0,1.0,1.0,1.0,2.0,1.6E-6,2.4E-7,6.0E-8,2.4E-7,2.0E-7,1.06E-6,1.52E-6,8.4E-7,1.42E-6,1.94E-6,4.6E-7,9063.9,47.902,3.0702E-4,4.638E8,60.112,5e-13
5,8.8E-6,8.66E-6,7.62E-6,1.2E-7,2.0E-7,1.82E-6,8.62E-6,5.82E-6,2.2E-7,4.26E-6,1.4E-7,4.0,4.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,3.0,1.98E-6,2.0E-7,6.0E-8,3.6E-7,1.4E-7,1.42E-6,1.82E-6,6.0E-7,1.14E-6,1.96E-6,6.4E-7,9651.3,47.849,2.7856E-4,4.4808E8,61.805,5e-13
6,9.66E-6,5.3E-6,7.72E-6,1.2E-7,2.4E-7,1.58E-6,7.88E-6,5.2E-6,1.2E-7,3.6E-6,1.2E-7,15.0,5.0,1.0,1.0,2.0,3.0,10.0,1.0,1.0,1.0,3.0,1.82E-6,2.0E-7,6.0E-8,2.0E-7,1.8E-7,1.0E-6,1.76E-6,6.4E-7,1.02E-6,1.88E-6,7.0E-7,10315.0,47.779,2.5925E-4,4.4571E8,60.842,5e-13
7,8.82E-6,9.94E-6,8.12E-6,1.2E-7,2.6E-7,1.7E-6,8.0E-6,6.3E-6,1.4E-7,3.36E-6,1.6E-7,4.0,4.0,1.0,1.0,1.0,17.0,9.0,1.0,1.0,1.0,2.0,1.98E-6,2.2E-7,6.0E-8,3.2E-7,1.8E-7,1.18E-6,1.38E-6,5.6E-7,1.1E-6,1.92E-6,4.2E-7,9949.7,47.772,2.8356E-4,4.7022E8,62.14,5e-13
8,7.88E-6,5.66E-6,9.36E-6,1.2E-7,3.0E-7,1.28E-6,7.22E-6,6.3E-6,1.2E-7,4.12E-6,1.4E-7,9.0,7.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,3.0,1.78E-6,2.0E-7,6.0E-8,2.2E-7,1.6E-7,1.0E-6,1.18E-6,6.4E-7,1.12E-6,1.98E-6,5.2E-7,10463.0,47.756,2.674E-4,4.6632E8,62.734,5e-13
9,8.74E-6,7.4E-6,9.78E-6,1.2E-7,3.8E-7,1.7E-6,8.16E-6,6.74E-6,1.2E-7,2.78E-6,1.2E-7,7.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.44E-6,2.6E-7,6.0E-8,2.4E-7,1.8E-7,1.2E-6,1.42E-6,8.4E-7,1.12E-6,2.0E-6,6.4E-7,8677.3,47.691,2.2791E-4,3.2962E8,60.275,5e-13
10,9.92E-6,8.74E-6,8.46E-6,1.2E-7,3.0E-7,1.74E-6,7.64E-6,5.8E-6,1.4E-7,2.94E-6,1.6E-7,7.0,4.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,1.76E-6,2.0E-7,6.0E-8,3.0E-7,1.6E-7,1.0E-6,1.54E-6,5.8E-7,1.54E-6,1.84E-6,4.8E-7,10764.0,47.504,2.8822E-4,5.1707E8,60.722,5e-13
